V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
38291.41,38086.266,37809.824,38158.25,37978.617,38049.734,38348.652,38086.723,37996.406,38057.023,38226.71,38118.54,38081.523
3821.3447,3805.155,3779.269,3813.1072,3798.8445,3797.8652,3829.9246,3798.8752,3800.5303,3806.9204,3819.9382,3807.5725,3792.6206
9734.513,9714.555,9657.835,9711.847,9692.605,9682.874,9763.827,9761.365,9729.695,9711.689,9738.901,9712.3125,9751.094
2359.6028,2313.6938,2304.224,2352.0461,2340.9275,2350.6396,2340.1736,2316.1716,2309.01,2317.6316,2334.1118,2314.5278,2313.4724
1655.0382,1627.6986,1699.5549,1698.2737,1688.1813,1638.119,1642.4564,1555.5065,1583.1141,1627.7971,1651.5558,1669.451,1508.2944
585.68774,571.31537,557.4092,561.62305,582.12134,575.24365,591.656,569.6676,572.8427,586.0742,555.0985,567.5271,559.51074
2848.6633,2835.6638,2886.4258,2887.7717,2887.3752,2786.3513,2857.1885,2907.505,2786.5823,2823.5256,2831.7861,2830.1926,2875.747
2299.6716,2292.1184,2366.911,2437.9124,2422.2336,2311.5273,2212.4697,2237.0884,2203.4019,2277.74,2203.6914,2240.9749,2272.3542
6245.119,6142.3813,6216.17,6218.7275,6272.336,6210.166,6118.138,6238.324,6124.31,6145.8667,5992.26,6103.016,6276.7085
5033.217,5018.423,4984.927,5009.6797,5000.3433,4967.945,5038.8193,5098.9844,5064.8936,5036.3906,5061.7314,5026.8706,5089.5454
399.8237,393.00906,390.9167,406.17816,399.15338,407.11496,397.9942,377.1148,375.41772,392.22253,384.0256,389.64542,379.83252
1065.4188,1055.4199,1055.1583,1061.2949,1056.3784,1052.5872,1063.8689,1065.416,1056.9767,1061.091,1063.744,1065.6982,1061.3018
2234.5295,2240.7126,2236.4573,2234.926,2234.2551,2226.2058,2244.758,2268.787,2243.899,2226.1975,2245.2095,2242.5046,2265.138
