V1,V2,V3,V4,V5,V6,V7,V8
6416.714,6406.7163,6122.349,6084.722,5675.808,5494.0527,5166.6465,4986.8286
6604.0713,6626.31,6325.9585,6268.7324,5847.37,5684.791,5338.0806,5140.5264
6794.115,6794.3877,6481.017,6411.3013,5996.906,5811.666,5448.8213,5236.9155
7196.7676,7240.2583,6907.419,6850.6025,6389.1006,6223.741,5839.244,5626.0454
1096.8113,1066.7169,1065.3787,1116.8094,966.9834,917.6456,906.0263,911.3802
9132.778,9201.783,8815.275,8808.17,8169.503,7965.843,7510.166,7274.837
3139.2573,3164.2544,3025.4263,3023.5112,2807.3835,2736.9236,2575.2888,2495.6606
2417.896,2432.1353,2331.8687,2334.109,2161.14,2104.9324,1986.5925,1927.3943
2329.8975,2345.8452,2245.592,2245.8052,2082.6614,2028.6326,1911.4214,1853.3135
2401.9028,2416.9546,2315.2302,2309.331,2143.7942,2087.9023,1967.6064,1902.5485
1091.7677,1098.8763,1050.4424,1047.3984,974.4979,949.0819,892.71484,863.11487
3054.5078,3023.3809,2937.5378,2970.265,2713.445,2611.4626,2499.9875,2448.1763
1641.3712,1661.0863,1591.7239,1588.0382,1474.945,1443.325,1360.8528,1316.0825
11317.97,11445.93,10960.708,10980.459,10183.531,9960.336,9401.612,9137.044
1202.4694,1205.7422,1169.7732,1169.8904,1072.56,1042.1501,992.95325,959.212
1882.9847,1902.1376,1840.7688,1840.9088,1695.0123,1657.6306,1578.9717,1532.8048
2266.6304,2296.5947,2193.2654,2197.937,2036.6155,1993.3545,1874.2493,1820.3441
4522.8438,4492.933,4365.493,4333.601,4011.852,3871.1455,3696.6611,3557.1956
5226.009,5281.608,5062.3335,5064.29,4689.5864,4587.4263,4330.2944,4200.1367
5834.424,5889.952,5635.395,5651.403,5230.757,5108.289,4813.44,4677.6694
8984.284,9062.037,8680.7705,8701.826,8047.0063,7856.3193,7411.82,7201.194
4771.162,4839.3276,4643.7314,4663.8813,4295.9946,4204.522,3970.0828,3860.2468
5605.734,5633.378,5411.2866,5419.148,5007.96,4874.5996,4609.1396,4471.9546
2206.44,2222.3184,2130.5676,2120.9546,1970.9309,1921.2257,1810.6647,1748.5681
1298.5055,1308.7218,1255.2661,1246.8749,1159.5604,1131.2721,1066.0223,1027.5714
7639.067,7494.974,7228.341,7662.383,6720.4585,6410.9033,6140.518,6249.513
8692.786,8741.408,8387.498,8350.617,7763.601,7557.3335,7123.6494,6879.4707
4627.5522,4687.0327,4465.4956,4445.275,4151.194,4066.913,3816.1992,3687.3923
1780.957,1788.9391,1708.9037,1705.4547,1588.2313,1544.8547,1453.6838,1409.6862
2921.8164,2949.578,2810.4856,2801.0862,2610.4875,2546.9514,2387.66,2308.5796
2350.3457,2381.7449,2273.2603,2264.426,2104.8376,2060.1353,1933.4379,1868.7852
4374.903,4394.0996,4204.5693,4203.81,3906.1172,3803.2766,3587.6863,3483.172
7735.8706,7827.886,7480.1436,7447.9688,6931.304,6780.4287,6371.804,6152.888
