V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
661.67615,646.5288,648.03345,647.1848,657.3683,662.3064,678.5247,682.7784,683.0095,692.0476,704.4688,705.0169,709.2452,708.9918,699.49646,689.868,683.21075,670.6614,670.5558,662.5667,655.801,648.348,647.78394,642.3522,652.7657,639.3097,640.56244,632.7411,639.1647,640.4264,648.15,658.9138,670.08545,671.0213,687.86346,688.5438,699.10864,694.0007,691.6393,682.0211,680.66437,669.6956,667.97296,660.427,655.3232,650.18604,654.1162,649.3818
2914.1821,2848.8933,2858.6418,2842.7043,2892.457,2911.015,2981.5945,3008.2231,3005.004,3046.148,3101.0454,3101.6113,3118.1777,3115.5396,3074.3997,3039.2524,3007.8816,2950.9902,2947.373,2918.296,2894.814,2863.4895,2852.3838,2827.9724,2875.254,2818.8413,2823.719,2784.7305,2826.9468,2821.1736,2858.317,2893.7134,2948.3323,2953.8438,3020.2292,3026.1318,3075.3386,3046.976,3039.6685,3002.8604,2995.1726,2945.4517,2939.6294,2907.7466,2887.1646,2865.064,2881.3306,2857.2698
1106.2668,1088.0833,1091.7963,1085.4946,1100.8953,1111.5979,1132.7155,1149.76,1146.9235,1161.3575,1178.3047,1180.5205,1183.3622,1182.4177,1167.761,1158.7565,1144.0417,1125.2544,1117.0603,1109.8083,1105.2296,1092.3276,1083.3755,1078.4733,1093.7902,1078.2361,1078.6895,1062.8635,1083.0889,1080.922,1095.9731,1102.2443,1123.2408,1129.0901,1149.3293,1153.5798,1169.7471,1158.0505,1154.87,1146.1392,1136.4456,1119.7145,1117.6694,1107.9192,1098.677,1089.7036,1093.0432,1085.5735
4744.331,4655.1294,4683.198,4617.1094,4702.6323,4745.4604,4825.548,4919.043,4899.285,4979.5483,5038.4443,5039.671,5049.319,5047.0996,4974.028,4965.4326,4898.8696,4809.2666,4773.1,4753.884,4756.417,4709.552,4640.378,4618.841,4701.535,4627.3125,4640.514,4543.494,4669.1196,4630.67,4701.334,4693.048,4800.3774,4823.6963,4894.534,4921.4463,5004.9414,4927.451,4929.658,4904.1455,4859.3027,4789.3125,4791.1533,4748.5317,4717.66,4678.8877,4699.519,4636.71
2501.195,2436.8694,2453.7273,2407.109,2452.1187,2470.4883,2520.834,2574.732,2549.6006,2605.7305,2642.7666,2629.7466,2640.8374,2643.9575,2603.2856,2603.8164,2568.225,2517.3486,2498.3535,2493.3804,2501.5935,2479.855,2437.288,2421.6528,2477.9224,2431.358,2436.4438,2373.3281,2446.3271,2410.044,2451.9927,2437.2542,2506.8218,2509.221,2555.269,2569.5376,2620.6206,2564.9395,2574.9412,2564.581,2548.5044,2512.6309,2520.47,2497.2192,2478.769,2463.5535,2479.446,2434.5083
6013.335,5994.1826,5985.334,6073.442,6110.8755,6213.6157,6299.838,6336.455,6395.511,6408.1074,6473.409,6553.77,6555.83,6531.1846,6463.1865,6355.8726,6288.1875,6225.7905,6173.583,6090.833,6011.4185,5918.197,5925.589,5931.701,5935.913,5895.123,5892.032,5889.677,5893.8086,6010.144,6063.2705,6193.513,6228.181,6298.466,6410.69,6424.9277,6442.451,6478.724,6405.215,6328.1606,6242.8706,6162.5166,6106.8086,6056.094,5994.3574,5929.542,5916.9546,5960.0625
37313.414,36676.16,36860.414,36379.36,36977.566,37352.223,37954.496,38756.258,38550.805,39173.39,39639.754,39629.61,39700.3,39683.707,39133.133,39088.71,38528.406,37875.04,37502.89,37403.04,37438.47,37050.418,36493.14,36355.984,36978.297,36464.74,36515.758,35774.992,36755.29,36453.277,37040.598,36919.363,37777.297,37975.82,38518.844,38744.938,39346.484,38746.344,38745.945,38594.8,38208.734,37669.414,37694.71,37389.566,37097.3,36803.67,36940.39,36499.414
29928.79,29339.86,29395.867,29457.793,29854.668,30125.688,30824.172,30992.006,31056.727,31388.504,31932.824,32034.36,32188.238,32157.898,31752.715,31265.7,30971.781,30451.473,30406.816,30030.984,29695.195,29329.598,29329.016,29138.373,29513.64,28977.643,29016.166,28734.777,28960.81,29121.816,29447.316,29991.203,30417.873,30523.146,31260.047,31297.928,31706.586,31550.605,31401.508,30967.867,30836.785,30371.371,30234.926,29902.824,29665.682,29421.117,29544.965,29436.605
35553.844,34914.582,35030.86,34886.67,35435.25,35752.145,36478.074,36885.44,36890.266,37332.1,37896.113,37995.64,38123.547,38073.164,37582.645,37205.652,36791.867,36155.996,36011.293,35685.664,35445.258,35033.14,34836.223,34632.598,35124.562,34547.39,34605.582,34152.51,34688.312,34701.523,35151.96,35512.61,36122.83,36292.43,36994.074,37102.66,37627.8,37323.285,37190.93,36808.934,36580.184,36018.387,35912.914,35559.953,35299.17,35001.477,35133.992,34903.3
410.2303,406.0202,406.87787,406.25403,411.35196,416.42383,422.74146,428.89676,429.6376,433.54236,438.37323,440.9215,441.1629,440.2334,434.81763,431.5279,425.99176,420.00873,416.0278,413.09235,411.2878,406.07083,402.6197,401.89035,405.71478,401.6554,401.9429,397.0153,403.9838,405.3413,410.401,413.20886,419.69415,423.03445,429.42303,431.3068,435.779,432.8587,430.7644,427.7873,422.67862,416.69452,415.09152,411.84283,408.30444,404.61374,404.7453,403.41666
