V1,V2,V3,V4,V5,V6
7656.903,8097.1084,6008.369,5076.318,4551.7925,4639.3677
1356.7489,1431.4154,1004.06946,793.4183,683.5637,800.44025
8456.245,8842.677,6785.891,5795.1323,5028.8726,5551.2017
9734.094,10186.012,7788.8687,6638.1934,5763.5474,6361.7075
6764.893,7033.7495,5523.179,4828.363,4092.7126,4630.356
3764.8699,3921.5354,3036.9456,2617.2507,2204.1138,2543.0789
3360.0247,3504.8293,2688.3408,2281.001,1934.2523,2241.396
2462.8064,2604.761,1926.4647,1619.4838,1447.7551,1486.9397
2303.0417,2426.4387,1817.3033,1533.0518,1357.793,1434.588
2300.7815,2427.8997,1805.7645,1514.0627,1343.6455,1417.01
1491.161,1572.8326,1173.1531,987.68384,877.19037,921.89264
1949.9196,2041.4388,1559.4254,1326.4735,1154.3812,1270.8217
4890.857,5096.174,3958.0762,3414.9463,2961.5034,3261.8464
5239.16,5479.9194,4214.174,3615.325,3163.3386,3409.212
5447.022,5676.0913,4404.9077,3784.49,3274.5383,3623.5476
2799.467,2935.1663,2250.551,1939.8993,1712.5983,1804.3016
3967.2341,4142.3945,3212.6157,2769.1453,2413.3848,2626.035
3382.8674,3546.3657,2718.148,2336.513,2060.0225,2179.0535
2607.6558,2709.7686,2127.0417,1970.996,1508.3486,1854.9193
6349.055,6670.6206,5000.453,4205.4634,3674.0154,4026.9893
8743.167,9113.988,6971.4053,5924.1294,5006.179,5855.264
3930.9473,4104.8154,3121.2588,2645.197,2208.8757,2616.843
9052.037,9562.362,6968.391,5703.9326,5002.1724,5510.151
8130.577,8531.867,6360.5684,5259.2524,4525.137,5196.66
2204.241,2301.9404,1750.7147,1471.1744,1254.0055,1463.1375
6570.621,6865.4766,5176.839,4341.937,3642.2366,4317.857
1601.3346,1672.7892,1265.6984,1057.0092,896.2251,1057.9983
1573.4027,1646.8451,1237.5116,1028.2749,876.6371,1023.7904
4098.559,4315.2285,3224.131,2705.4675,2384.206,2557.7158
4392.167,4595.866,3521.921,3001.2944,2613.478,2868.997
3757.745,3974.0183,2946.815,2470.3762,2208.5303,2287.5342
5358.066,5638.279,4231.146,3566.3652,3144.7683,3361.6016
1265.8308,1330.6049,1006.7497,854.25934,752.6294,804.5188
1681.7491,1769.3683,1333.5997,1128.2968,995.7736,1061.1989
3315.387,3479.1777,2633.4048,2227.179,1948.043,2121.2593
1156.6239,1219.1597,911.5621,767.59015,679.5196,719.61334
3868.9363,4060.8857,3066.4126,2586.9937,2261.194,2469.202
6261.2114,6667.415,4967.626,4546.5103,3840.813,3565.6733
3846.3423,4003.3828,3161.4097,2755.0342,2361.7888,2673.1143
4857.1685,5061.992,3935.3938,3395.3735,2931.5222,3265.028
15206.985,15932.336,12203.824,10463.886,9166.662,9870.975
5467.879,5676.909,4469.877,3991.247,3279.0657,3801.3242
2820.8064,2929.5886,2305.5059,2039.5002,1701.7283,1947.5609
10140.162,10553.283,8232.095,7094.103,6096.5796,6886.0806
10165.875,10614.451,8186.9453,7017.6367,6079.118,6742.608
6094.886,6321.286,5011.5405,4529.7993,3683.1746,4305.2007
6102.3794,6329.0503,5017.801,4535.578,3687.8147,4310.6104
7438.513,7875.792,5752.0947,4838.6743,4276.0728,4345.2676
2564.7195,2702.4863,2027.6058,1716.4708,1525.018,1596.2108
18991.89,19988.326,15051.382,12766.423,11312.483,11903.057
8401.654,8845.221,6658.659,5650.3833,5015.543,5255.5923
16170.387,16785.814,13265.247,12053.876,9717.663,11257.812
16310.516,16781.19,14381.828,13728.097,12235.061,13431.603
7985.0327,8255.898,6685.1357,6381.807,5050.8315,5968.227
2435.308,2520.9697,2022.8707,1911.1862,1499.8629,1773.4847
10410.822,10807.914,9205.072,8851.759,7666.799,8515.697
1959.9501,2035.8384,1600.8417,1432.4225,1168.7063,1364.7727
10409.217,10847.466,8432.765,7269.7363,6280.3555,7016.5347
10203.391,10747.676,8036.266,6780.7837,5996.097,6350.2163
10162.23,10629.521,8135.2354,6944.09,6036.7393,6647.099
10186.692,10770.541,7857.2646,6523.28,5776.6045,6096.7104
11573.451,11870.797,10020.714,9752.483,8009.6973,9124.219
10341.441,10741.26,8470.862,7595.995,6257.9453,7154.811
12893.613,13448.451,10306.732,8754.227,7517.846,8500.674
10105.953,10513.605,8083.3184,7080.5684,5823.764,6807.7407
9739.785,10156.682,7760.236,6577.918,5627.788,6500.882
10598.065,11141.74,8455.33,7232.104,6400.2104,6732.9478
10738.035,11351.001,8462.257,7182.693,6445.985,6565.064
10256.016,10686.58,8336.077,7198.701,6236.446,6911.798
10469.603,11093.624,8037.375,6692.2754,5900.062,6111.509
10848.9,11367.412,8651.266,7436.812,6590.464,6879.368
9921.797,10317.418,8062.843,6972.6396,5928.9834,6790.374
10096.242,10582.828,8126.579,6947.2886,6166.7773,6537.8867
10461.51,11008.932,8466.86,7290.845,6522.0493,6656.9053
10363.211,10944.943,8217.87,6976.1367,6264.0605,6351.277
10204.333,10727.261,8138.124,6927.8784,6155.8667,6413.874
9908.531,10357.08,7920.0073,6733.9634,5835.4146,6470.3193
9972.141,10355.41,8141.87,7119.5024,6043.926,6876.8877
6177.1304,6476.006,5221.564,4741.4556,4279.7407,4207.602
5341.719,5717.311,4324.767,3818.5957,3347.9521,3053.008
4338.2153,4504.3296,3554.7646,3145.4146,2626.2756,3021.6199
12596.007,13271.266,9942.187,8553.685,7627.756,7730.5703
9605.663,9973.007,7853.5254,6904.4604,5828.1777,6641.201
3862.7148,4086.189,3007.0913,2522.7734,2247.9866,2313.8088
1512.9762,1579.2974,1218.2085,1041.5077,901.88416,1007.9639
2747.4407,2857.4956,2258.1199,1973.2396,1706.5309,1873.775
10495.473,11046.7705,8099.1465,6778.191,5908.6216,6496.4966
10572.318,11207.802,8479.875,7318.26,6588.2266,6278.268
1461.314,1478.4386,1353.671,1344.6642,1196.4757,1203.748
6333.6406,6664.1465,5089.603,4387.4272,3939.3,3937.5637
7780.5986,8188.493,6080.9316,5090.195,4470.1675,4861.2344
2188.5994,2300.1008,1658.1577,1429.4316,1238.0045,1270.6532
8458.889,8953.806,6561.376,5501.566,4891.9087,5060.942
7044.19,7453.029,5511.0327,4648.047,4151.935,4223.2524
6715.6685,7109.4775,5191.4453,4337.639,3841.1094,3964.142
7528.755,7939.0337,5942.039,5024.132,4481.7954,4641.858
6640.0796,7016.9272,5211.0083,4394.3784,3929.4248,4048.599
9185.725,9693.619,7279.196,6188.798,5515.918,5677.2456
8376.77,8841.918,6590.895,5566.222,4961.902,5168.923
8956.652,9494.915,7030.2695,5954.896,5284.848,5296.3833
1552.5973,1621.646,1192.7242,1009.60834,864.0122,849.0938
9432.545,9955.895,7411.38,6278.386,5604.3726,5787.8774
3534.3726,3729.382,2752.0664,2288.8008,2041.8317,2134.7095
1802.1676,1893.3575,1444.7874,1230.8566,1079.5718,1159.9415
2224.525,2359.1665,1724.0774,1448.2344,1279.7345,1301.6837
2169.1567,2274.1511,1722.8544,1465.0253,1270.6494,1419.5199
3393.8508,3591.8787,2660.4265,2258.935,1996.5312,1955.4362
1406.5516,1473.9496,1100.0715,965.19867,819.16455,766.2628
2734.6091,2889.9504,2172.3713,1857.5917,1596.0447,1711.77
2159.9675,2283.2927,1724.4479,1476.4872,1333.1185,1335.2296
2795.2737,2969.8113,2170.3164,1820.9634,1602.7078,1616.7247
1241.907,1310.6904,956.026,801.7049,696.3053,707.2759
1894.5255,2004.9779,1482.4816,1248.6067,1115.1373,1143.6108
2063.1804,2182.306,1589.9458,1339.6542,1176.2501,1184.9574
1692.173,1793.7953,1310.6992,1097.2618,972.0403,1001.7824
2295.2336,2432.661,1752.4838,1459.1124,1284.1606,1341.5215
2221.5234,2338.1658,1718.4148,1462.9618,1242.6542,1233.2031
1811.5858,1923.3325,1406.4332,1175.4938,1022.42523,1045.8182
2578.871,2731.3513,2018.3821,1700.6068,1516.8721,1539.5728
1847.5189,1929.3058,1532.119,1331.3081,1159.3392,1282.6376
3453.9316,3625.9053,2635.452,2191.8005,1880.2269,1940.7894
2139.3533,2265.8281,1622.1963,1328.1637,1171.3237,1255.3182
2307.5632,2429.2014,1820.4148,1530.7721,1346.6038,1439.7247
2311.7456,2432.5486,1838.1993,1548.4102,1359.3151,1422.9698
8438.86,8938.3955,6537.621,5482.6343,4853.747,4954.44
4587.5664,4860.9116,3546.1753,2971.9392,2606.7083,2626.0513
7390.3887,7814.1025,5772.8174,4867.354,4350.3774,4369.9824
9635.64,10189.006,7502.445,6276.3613,5601.029,5800.37
3972.2856,4198.8584,3087.8086,2644.4119,2307.0134,2255.138
7063.099,7474.8438,5475.5894,4585.328,4075.4255,4217.508
8655.76,9155.744,6775.85,5716.3296,5113.6646,5248.6353
7521.787,7956.9277,5873.4785,4937.067,4407.445,4521.304
4618.4077,4789.3916,4197.2485,4065.0166,3544.8013,3849.7085
10252.929,10667.839,8275.003,7142.6885,6041.2383,6942.6064
7815.454,8149.5625,6216.3726,5344.7627,4444.8813,5205.5356
3220.0344,3337.6743,2632.2039,2392.3782,1936.5879,2241.9849
3237.2268,3368.005,2630.7998,2266.168,1941.2517,2201.809
11742.643,12308.454,9308.029,7902.2573,6858.3354,7611.8467
9544.321,9927.717,7758.714,6775.356,5705.9097,6483.988
5993.3394,6256.671,4833.2827,4134.1196,3568.9634,3995.9995
4303.7803,4463.795,3526.898,3153.242,2598.019,3006.3735
4665.978,4921.2256,3643.4553,3044.53,2738.893,2822.6143
4299.9614,4465.013,3524.6357,3116.5286,2606.4282,2982.2847
4900.6562,5104.1143,3970.3564,3417.3118,2916.3438,3287.497
12262.593,12732.076,10079.476,8981.674,7454.1377,8538.43
7354.863,7681.2217,5801.9673,4871.3467,4336.8896,4715.427
2118.475,2200.1575,1736.7141,1550.4623,1281.4641,1470.3192
6686.415,6997.4004,5385.814,4609.2896,4032.6074,4346.027
2777.6794,2886.863,2264.018,1988.0427,1666.1603,1915.1763
8317.46,8704.37,6628.015,5610.902,4852.302,5448.7476
1975.5265,2053.7322,1627.7191,1424.239,1214.7344,1370.953
7255.567,7599.877,5760.986,4858.928,4264.8364,4544.6704
8904.467,9283.063,7023.2344,5977.062,4969.047,5874.407
3423.3328,3629.5332,2652.7205,2222.6924,1956.6312,1966.8843
