V1,V2,V3,V4,V5,V6
7265.2886,7567.3843,6032.542,5597.9575,4887.802,5004.9766
1245.7897,1282.9586,1005.283,905.56647,802.9383,827.31647
8008.0464,8324.9795,6684.63,6189.7183,5310.0146,5704.1743
9205.188,9568.258,7678.536,7112.2803,6104.8457,6546.804
6514.374,6763.827,5396.6934,4944.9585,4185.0044,4704.4077
3612.8782,3741.0522,2978.9746,2709.6917,2289.2588,2592.9426
3212.8342,3322.315,2647.7698,2399.1353,2038.181,2294.7493
2328.2031,2424.3767,1932.7377,1788.2378,1565.4435,1596.364
2179.0176,2267.4165,1813.3989,1676.9402,1456.822,1516.347
2172.6694,2260.5464,1806.7052,1667.7311,1452.3981,1503.4019
1410.4313,1467.8247,1172.8958,1084.6218,943.8845,978.6382
1843.8052,1917.1663,1538.8665,1423.0928,1224.6255,1308.275
4651.718,4833.445,3884.068,3604.0652,3084.854,3336.9768
4978.9854,5178.245,4159.588,3856.9436,3319.182,3530.2944
5181.439,5381.2363,4327.617,4000.1626,3422.698,3704.6277
2670.0054,2779.9294,2228.0461,2073.9731,1788.0394,1890.545
3774.5913,3926.7358,3158.9697,2930.7773,2513.6245,2697.3914
3223.0063,3355.1147,2691.187,2500.3684,2156.5405,2278.5852
2621.5251,2704.6606,2118.2185,1987.271,1622.5272,1891.2131
5976.6187,6209.0566,4966.468,4591.8022,3967.5908,4197.1025
8375.578,8650.293,6869.146,6236.4497,5278.2017,6013.5337
3771.8003,3895.9937,3081.9253,2774.4631,2342.2107,2685.8967
8443.853,8764.765,6990.1113,6411.513,5596.224,5807.1704
7693.715,7961.014,6338.4424,5756.7554,4950.056,5389.1562
2107.8132,2179.9534,1733.1147,1575.1731,1340.0183,1503.947
6275.7725,6468.213,5121.538,4598.0684,3898.4556,4455.796
1531.6095,1581.5884,1255.1396,1133.3867,963.7867,1088.5911
1497.462,1547.8225,1230.2144,1114.5369,951.8637,1057.203
3864.899,4018.0796,3214.6504,2966.1152,2575.5254,2688.7466
4157.2734,4323.15,3473.1848,3211.6448,2763.3894,2950.6926
3555.3027,3702.6606,2957.4229,2730.6726,2384.679,2447.932
5062.6074,5265.3154,4213.9595,3893.4585,3377.2158,3532.0598
1199.1327,1248.1627,999.98035,925.39734,800.8606,841.9337
1591.8938,1656.8317,1326.7424,1226.7709,1063.4092,1113.6636
3130.9688,3255.2468,2609.8535,2411.1406,2082.517,2202.602
1093.3801,1137.8728,909.96625,841.0318,730.8522,760.4635
3649.3967,3793.2627,3040.581,2807.1135,2425.619,2563.9294
5725.2886,6037.0093,4695.2285,4648.2705,4035.4868,3651.6946
3698.9744,3849.228,3086.8027,2861.0469,2413.0256,2712.1357
4633.178,4814.383,3861.7502,3578.5437,3050.6772,3339.543
14448.687,15037.577,12059.711,11202.859,9639.068,10258.345
5333.1313,5549.542,4372.2305,4020.389,3337.549,3836.2732
2730.738,2837.1343,2251.981,2070.6218,1733.5154,1972.4758
9713.866,10081.271,8075.7188,7442.844,6326.5596,7020.538
9662.157,10040.496,8054.9927,7454.709,6381.099,6916.5527
5986.1816,6229.503,4898.8257,4526.5557,3733.5195,4334.878
5993.6084,6237.206,4904.9404,4532.2983,3738.2588,4340.318
6967.925,7253.4346,5755.4937,5335.4814,4714.131,4673.224
2432.0596,2531.4966,2024.3054,1874.5936,1628.9657,1692.9905
18013.254,18745.244,14998.998,13893.227,12051.807,12575.567
7972.4707,8297.678,6638.0244,6149.5503,5337.8525,5560.6206
15898.191,16589.447,13010.419,12044.684,9931.689,11318.408
15976.778,16761.734,13983.079,13615.831,12133.574,12729.447
8059.0757,8271.67,6605.2188,6356.356,5241.379,5970.02
2445.1929,2518.8167,1997.4956,1907.6682,1564.8119,1786.4119
10456.649,10817.637,8985.961,8770.76,7655.223,8271.897
1915.9258,1994.929,1567.3005,1440.181,1191.463,1375.473
9936.829,10322.383,8272.551,7651.6997,6527.6235,7164.983
9649.066,10035.843,8019.8677,7426.7505,6444.673,6720.939
9617.913,9997.437,8020.5835,7434.4,6386.2095,6845.918
9569.093,9938.626,7905.6396,7315.577,6381.642,6560.346
11641.726,11797.39,9824.635,9746.231,8245.018,9344.431
