V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2099.777,2061.3987,2033.9652,2040.0321,2032.5885,2077.9163,2082.2527,2046.5883,2043.7517,2037.2036,2030.8135,2048.185,2066.3225,2048.904
3121.1514,3062.6821,3019.1968,3027.8909,3014.9846,3086.2988,3089.5796,3037.8528,3035.2292,3028.7314,3019.154,3041.288,3071.5894,3043.9968
1187.5847,1164.3225,1146.4977,1149.8126,1148.5352,1176.8048,1175.3175,1154.6969,1156.8184,1151.755,1147.4984,1156.93,1165.9271,1156.4557
1399.2151,1370.2067,1346.651,1350.7772,1354.2133,1393.139,1391.6151,1355.989,1354.1284,1362.4835,1356.7684,1365.8075,1383.6294,1367.1503
6060.279,5954.4688,5875.5605,5891.4185,5870.416,6003.055,6012.819,5912.139,5904.312,5880.533,5864.807,5912.2676,5968.32,5917.8423
3310.413,3244.3809,3203.0679,3217.1653,3206.094,3290.465,3285.2112,3234.1057,3222.2952,3218.3174,3207.652,3225.4885,3269.596,3236.1484
4826.197,4818.1865,4768.1777,4693.914,4810.5923,4835.3916,4898.0913,4748.2197,4670.4136,4711.797,4647.2173,4798.4873,4788.2524,4746.2393
1800.6064,1768.8733,1745.2782,1750.776,1743.9458,1782.9088,1786.3685,1756.011,1753.9661,1747.4849,1742.6913,1755.7767,1773.23,1758.1171
1648.4512,1619.2743,1597.6052,1602.6987,1596.4335,1632.1508,1635.2765,1607.525,1605.647,1599.8347,1595.3944,1607.3602,1623.3298,1609.4268
2707.6633,2658.9692,2626.1514,2631.2234,2624.6208,2681.487,2687.8984,2643.3499,2638.9475,2627.5745,2620.3296,2642.1094,2664.9045,2644.0476
2532.2288,2487.151,2451.7246,2459.362,2450.5227,2507.9275,2510.823,2469.566,2466.1243,2457.4202,2450.0042,2469.3381,2493.5618,2470.4866
3741.9973,3677.3977,3633.2903,3640.2825,3628.4639,3705.0386,3717.644,3654.5122,3647.3718,3631.5767,3621.1553,3654.2087,3682.8748,3654.5413
