V1,V2,V3,V4,V5,V6,V7,V8
6269.9136,6388.621,5979.838,6068.619,5936.8613,5878.609,5366.7725,5255.84
6464.0176,6600.0747,6172.8877,6259.735,6125.9785,6074.223,5537.521,5423.6284
6656.3657,6797.601,6337.8867,6410.161,6287.7744,6239.963,5680.9053,5560.899
7055.4443,7213.6284,6748.921,6847.7104,6701.998,6650.6167,6057.573,5936.9546
1091.9318,1079.981,1057.942,1096.194,1036.8827,992.55676,941.41284,948.88434
9001.17,9191.281,8665.48,8846.26,8621.787,8535.06,7802.324,7665.1055
3092.7024,3160.5845,2974.9307,3034.317,2960.0586,2931.751,2677.021,2630.8162
2382.1897,2429.415,2292.5586,2341.998,2280.3381,2254.5684,2063.657,2028.9044
2294.4795,2343.1042,2207.2144,2252.0615,2195.6926,2173.261,1986.0342,1952.1736
2363.8135,2414.09,2271.4585,2314.1465,2258.3132,2237.1704,2043.4113,2006.2241
1073.0974,1096.6841,1030.1582,1049.2966,1024.9237,1016.0503,927.0475,909.6912
3004.2336,3032.6355,2889.9253,2964.5315,2867.7234,2809.0132,2597.04,2566.0151
1621.3972,1657.8347,1565.4401,1601.163,1559.6755,1545.7344,1412.6714,1386.2886
11115.331,11366.171,10751.505,11019.444,10723.741,10611.254,9702.642,9539.962
1201.6213,1220.7466,1159.5513,1184.3763,1149.2404,1132.9314,1042.7227,1027.6793
1869.7314,1900.3005,1811.6656,1862.434,1803.2428,1777.7517,1636.8586,1609.4235
2238.6855,2291.073,2161.1606,2209.8604,2152.2559,2131.8745,1946.6492,1915.3442
4462.236,4521.6196,4276.0083,4353.0864,4241.4736,4185.5786,3850.6367,3773.008
5139.471,5248.0874,4961.98,5078.5947,4940.1523,4888.149,4473.1777,4394.8228
5745.532,5869.6875,5539.299,5663.7217,5514.31,5456.863,4988.284,4907.852
8842.792,9024.478,8523.21,8716.409,8480.653,8387.03,7674.468,7548.2896
4722.266,4832.7905,4575.093,4677.614,4550.0244,4503.7144,4115.9824,4061.1572
5524.1196,5629.2954,5318.872,5434.456,5287.7046,5224.7715,4786.555,4707.388
2174.9976,2221.6206,2091.185,2130.1562,2079.0278,2060.0955,1881.6687,1846.8354
1279.2974,1307.3665,1229.8639,1251.4098,1222.1727,1211.7903,1106.37,1085.6201
