V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
656.16846,650.76385,648.541,650.9955,654.2783,663.4281,673.99115,684.90234,681.83093,699.0421,694.66223,696.2861,695.8539,694.6151,686.5526,689.14703,676.43646,666.7057,659.5668,650.8696,651.79395,650.45135,648.9571,643.62225,650.09314,649.0256,648.2477,639.5564,642.1495,658.75195,649.8971,660.39874,671.48425,682.7389,692.6889,695.1548,691.8325,697.64844,684.27466,683.22485,676.78705,664.4541,657.9343,661.7008,653.15546,652.3171,650.605,642.7721
2887.5352,2868.4175,2864.0789,2867.9495,2882.0635,2926.1733,2968.531,3018.779,3000.7844,3073.8943,3053.886,3067.7544,3059.492,3053.9878,3015.9116,3031.4023,2971.8882,2940.5454,2899.851,2866.499,2873.6287,2866.371,2856.81,2833.5337,2859.2017,2864.151,2852.8708,2813.5386,2837.3633,2905.122,2866.9827,2907.9902,2958.5806,3010.3203,3044.7954,3060.6619,3042.2488,3068.2983,3011.3691,3008.7837,2982.126,2917.758,2893.1929,2914.0586,2870.828,2873.9026,2863.1665,2835.6582
1097.431,1096.5559,1098.6656,1098.8174,1102.4156,1121.2556,1132.6582,1152.264,1145.9642,1166.8342,1165.1902,1171.0464,1166.2759,1162.0245,1146.6672,1149.4221,1127.8462,1121.2931,1100.2759,1092.2827,1095.0784,1089.1035,1088.5771,1080.3475,1088.2178,1091.2487,1089.8433,1075.8848,1090.4819,1108.247,1100.4663,1113.7302,1132.4237,1149.9998,1157.2157,1167.4606,1158.4115,1165.0637,1149.0247,1146.6018,1133.5325,1105.744,1101.5825,1105.5902,1089.8254,1091.7739,1088.4636,1081.1599
4692.627,4702.2803,4717.1216,4702.2134,4712.495,4819.778,4841.616,4929.67,4899.9385,4994.343,4964.367,5011.6226,4979.8086,4957.962,4875.745,4916.917,4812.2783,4820.89,4696.175,4676.3037,4703.782,4669.75,4662.5444,4629.8994,4660.715,4697.212,4672.8335,4600.756,4682.5977,4763.8325,4719.774,4765.5127,4848.0933,4932.3535,4942.419,5000.671,4948.841,4981.9346,4917.6104,4910.5186,4863.953,4717.602,4718.413,4738.5767,4660.465,4688.5205,4679.213,4634.2974
2473.998,2465.7964,2464.7432,2458.8955,2452.0068,2519.4468,2528.1494,2587.3506,2554.018,2622.421,2594.7544,2617.374,2609.2314,2590.8245,2542.4165,2589.3604,2525.6147,2535.5054,2458.4233,2450.1245,2478.176,2453.631,2454.6816,2424.2412,2453.2585,2475.446,2453.331,2401.4622,2441.246,2492.6184,2452.7188,2476.2637,2526.6216,2583.5789,2585.5808,2621.151,2580.1743,2610.4216,2562.858,2575.8286,2561.533,2472.0286,2481.3616,2508.412,2455.0635,2475.8633,2468.125,2433.4866
5987.087,6016.7705,6033.2856,6083.1455,6139.492,6176.475,6270.2183,6317.788,6368.5947,6408.832,6473.8057,6468.885,6453.6104,6438.383,6388.655,6278.2983,6223.7646,6112.244,6085.6943,6004.0,5957.506,5950.6206,5944.253,5945.875,5951.01,5906.815,5978.2,5984.582,6001.427,6074.5103,6118.5205,6217.5166,6285.5073,6313.8853,6406.3125,6426.1377,6438.4834,6417.7686,6372.793,6295.612,6171.373,6111.0557,6038.563,5968.731,5964.3623,5905.888,5902.7373,5911.129
36943.312,37047.05,37149.43,37070.49,37095.4,37958.93,38106.23,38841.66,38565.42,39265.406,39118.832,39432.977,39218.617,38996.914,38357.94,38674.92,37852.043,37952.855,36928.4,36808.047,37034.21,36720.56,36714.008,36432.707,36691.07,36961.69,36797.383,36247.58,36891.63,37462.45,37171.195,37521.355,38183.11,38834.4,38870.78,39368.82,38905.816,39163.33,38670.6,38639.406,38261.414,37079.332,37141.41,37307.84,36672.203,36888.125,36796.547,36496.29
29712.707,29505.91,29449.68,29589.113,29762.617,30110.664,30615.436,31063.059,30982.684,31665.879,31568.227,31619.992,31590.629,31541.914,31207.098,31188.242,30681.545,30183.336,29924.178,29519.21,29503.688,29457.242,29393.107,29183.848,29431.492,29344.275,29385.508,29066.467,29179.326,29853.328,29561.48,30042.29,30509.139,30967.91,31424.965,31531.787,31435.93,31627.648,31078.074,30987.074,30628.463,30130.848,29804.592,29878.877,29571.688,29467.717,29394.148,29139.85
35241.637,35160.688,35186.17,35232.96,35414.547,35961.21,36391.516,36955.61,36831.67,37549.605,37432.168,37616.68,37469.383,37380.22,36914.605,36970.64,36307.11,35982.887,35441.453,35088.797,35139.855,35015.266,34925.406,34708.13,34946.496,35004.383,34954.723,34564.242,34903.703,35601.625,35309.344,35774.953,36346.652,36898.797,37249.684,37488.477,37292.33,37502.6,36942.176,36826.168,36420.664,35631.562,35380.945,35483.562,35039.438,35047.01,34947.95,34699.633
406.96964,408.94897,410.4347,411.1056,413.25992,419.46463,423.1623,428.85822,428.77985,433.81058,435.0547,437.4015,434.91083,433.50427,427.85028,426.14572,419.49356,417.28174,409.88785,406.69318,406.89374,404.66574,404.3336,402.7331,404.18915,405.0407,405.81848,402.68103,408.0893,413.26007,413.22113,418.08276,424.2475,428.8003,431.61536,435.24176,433.06873,433.63483,429.63092,427.00085,420.91888,411.2956,409.48773,408.5437,404.38498,404.11673,403.21252,402.46497
30109.121,29999.797,29949.258,30209.863,30424.562,30666.098,31207.111,31565.402,31640.504,32165.117,32247.88,32197.791,32215.01,32142.256,31871.543,31610.387,31227.334,30590.52,30466.84,30009.61,29874.33,29859.652,29814.822,29680.25,29864.617,29648.146,29865.404,29716.89,29700.9,30296.762,30201.055,30748.207,31156.713,31482.225,32023.309,32086.553,32073.09,32157.424,31694.695,31484.25,31010.113,30668.645,30265.678,30157.266,30009.072,29764.83,29722.006,29562.344
