V1,V2,V3,V4,V5,V6,V7,V8
6180.3076,6421.355,5931.4194,5960.101,5825.7563,5839.9863,5211.787,5154.447
6376.1074,6635.068,6126.461,6151.8174,6012.296,6031.4595,5379.879,5321.177
6569.3784,6839.5874,6289.8887,6301.708,6159.786,6184.029,5510.5137,5445.723
6963.2373,7247.7217,6698.0703,6733.134,6581.2744,6605.262,5892.241,5829.796
1059.0895,1079.7574,1038.6718,1059.4471,1018.80444,1003.9427,910.846,930.2971
8886.777,9222.931,8604.378,8703.872,8505.956,8523.954,7627.319,7563.9966
3053.7327,3171.621,2953.7603,2985.6643,2918.056,2924.7273,2615.266,2594.08
2350.112,2437.3406,2275.3594,2302.5466,2249.4695,2252.406,2016.3252,2001.2943
2265.3955,2351.783,2191.666,2215.8044,2165.0476,2169.4202,1940.4937,1925.2263
2333.9766,2423.6155,2254.8394,2276.6562,2224.5344,2230.9421,1994.8777,1976.7944
1059.8269,1101.0245,1022.80475,1032.6305,1009.565,1012.60345,904.979,896.1555
2954.4126,3045.8347,2866.3481,2907.0537,2832.7126,2820.2874,2534.6135,2532.4978
1601.8763,1662.6051,1555.5983,1576.9094,1542.1047,1546.0725,1384.2986,1371.5392
10994.069,11400.43,10694.688,10862.664,10625.867,10639.431,9531.82,9456.943
1184.125,1225.9056,1150.3246,1162.918,1132.7651,1133.3235,1017.1969,1013.886
1840.4968,1904.1237,1799.2667,1829.7871,1787.7648,1785.3939,1604.3815,1595.5343
2211.164,2296.8088,2146.246,2175.2107,2125.6624,2130.4163,1906.0469,1892.2678
4394.456,4544.5474,4239.4424,4272.5747,4173.4805,4178.3853,3748.595,3712.0217
5071.719,5259.618,4925.523,4994.4917,4881.791,4890.308,4380.0107,4343.795
5670.014,5882.667,5495.9697,5569.6543,5441.993,5451.8433,4879.79,4844.0967
8720.805,9044.486,8454.647,8566.643,8368.75,8381.18,7503.6655,7448.493
4664.5205,4843.359,4541.5283,4603.792,4491.558,4502.5938,4031.7854,4015.229
5449.189,5648.503,5278.8154,5342.2075,5216.3877,5222.5127,4677.0713,4644.4287
2147.7717,2230.91,2076.83,2096.379,2048.8196,2054.568,1837.4482,1820.8424
1263.4238,1312.8778,1221.125,1231.4014,1203.5803,1207.6104,1079.8301,1069.646
7332.9336,7534.277,7119.828,7269.548,7003.0,6924.0356,6218.135,6343.7803
8463.621,8788.323,8186.958,8260.834,8072.653,8093.477,7238.8145,7177.6055
4495.0186,4672.2373,4352.423,4408.5283,4317.053,4333.0024,3872.075,3826.244
1723.5369,1789.6437,1663.0835,1680.6644,1644.2751,1646.6039,1471.7307,1457.4639
2849.4753,2964.5657,2749.9563,2775.4475,2713.91,2723.717,2431.8945,2408.2712
2290.9321,2384.542,2217.644,2237.7866,2186.7048,2194.3057,1960.24,1945.0798
4228.9976,4383.585,4090.0984,4143.7456,4054.1191,4055.8674,3630.197,3595.2375
7546.935,7845.7876,7308.004,7386.2725,7222.0405,7247.7397,6479.0415,6416.4873
6582.1294,6845.7393,6373.1455,6435.3213,6290.218,6314.3594,5643.976,5591.5254
9250.07,9624.345,8948.612,9037.061,8839.534,8882.246,7935.106,7841.855
8264.746,8582.322,8003.1035,8091.7617,7912.0903,7927.8364,7090.088,7033.681
4036.2922,4190.2256,3907.7185,3958.9988,3869.8787,3879.8367,3469.7585,3440.547
5822.55,6050.338,5643.5137,5710.172,5579.464,5594.2524,5001.217,4969.0054
5284.7886,5485.9214,5152.558,5190.5605,5057.835,5070.4497,4549.7827,4530.765
4759.934,4948.5063,4608.7324,4658.008,4553.1416,4566.6978,4081.9983,4045.96
1746.7588,1813.9578,1690.3427,1709.0415,1670.915,1676.3873,1499.3643,1485.1819
1926.2814,1999.228,1864.9764,1887.6282,1846.373,1851.7817,1657.0331,1641.435
4917.1562,5112.0283,4764.727,4819.5684,4709.9404,4722.9873,4221.5527,4186.363
1171.264,1217.8065,1134.0237,1147.0457,1122.0828,1126.1987,1006.5431,996.464
1758.2954,1825.9513,1700.0314,1717.7253,1679.4401,1684.6259,1506.5676,1492.4124
3073.6318,3194.014,2975.395,3005.2512,2937.483,2944.0283,2633.1824,2609.209
8882.828,9237.631,8602.722,8696.452,8498.114,8529.278,7623.7314,7560.4946
1271.8718,1317.1831,1231.1903,1248.8531,1220.2332,1223.044,1095.7867,1085.48
8122.483,8452.8955,7875.0967,7957.707,7782.172,7814.728,6984.921,6916.3325
8478.238,8825.866,8217.818,8303.392,8117.091,8153.341,7285.0947,7216.0435
1336.8734,1391.4417,1295.3275,1308.9712,1283.9187,1291.2681,1154.3573,1135.7927
5327.462,5538.298,5155.671,5204.869,5087.378,5099.3022,4558.747,4521.218
2418.2415,2511.961,2341.5063,2365.9475,2315.6516,2324.0593,2079.5837,2056.6384
1514.0161,1571.9838,1465.6924,1482.2212,1448.94,1452.5762,1299.6693,1288.7297
6313.9204,6563.791,6113.7427,6181.543,6042.09,6057.116,5413.914,5369.6216
2744.8054,2852.7227,2654.9849,2679.4846,2622.408,2632.6711,2354.3035,2327.0457
1340.1792,1392.972,1298.0739,1312.5742,1283.8357,1288.3145,1151.8892,1140.8066
6783.7915,7056.6035,6559.728,6621.369,6477.081,6500.6147,5809.061,5748.4736
8807.469,9165.946,8522.804,8606.497,8420.781,8457.413,7556.904,7473.7197
1286.4033,1337.1327,1247.0201,1261.4258,1233.4192,1237.6764,1107.1614,1096.1091
2490.1643,2582.1926,2428.7986,2467.5261,2411.8892,2415.2632,2165.0369,2149.2737
1869.2751,1941.0455,1815.5195,1840.67,1798.0986,1806.2473,1615.3628,1598.2776
2450.5925,2537.0347,2411.8423,2465.9255,2410.4534,2408.6477,2163.056,2150.6394
2810.3933,2909.2961,2745.9841,2796.3362,2733.3743,2731.6487,2451.882,2437.7695
4253.3335,4409.9756,4155.4424,4224.206,4125.506,4130.584,3702.8914,3676.1367
5495.27,5698.355,5382.9316,5485.4688,5361.673,5364.354,4814.3955,4787.784
9471.377,9827.239,9241.821,9394.184,9182.351,9200.879,8242.664,8178.1123
2961.8145,3077.4148,2877.8354,2913.947,2850.2505,2860.6667,2561.2302,2535.3152
990.05695,1029.1498,961.1263,974.26843,952.7579,953.3547,853.0754,847.4198
9799.517,10183.121,9484.912,9585.161,9367.057,9392.829,8398.314,8326.765
4492.071,4670.2085,4340.3887,4397.993,4303.6343,4313.6147,3857.2744,3824.3215
3518.2795,3649.9348,3411.2783,3463.3406,3387.094,3396.1504,3037.2268,3005.009
4665.5337,4842.522,4533.326,4596.6177,4492.8447,4500.7153,4029.2078,3998.2825
2706.364,2809.1628,2630.7505,2667.4636,2606.7756,2612.0193,2338.3303,2320.7717
1453.6772,1509.7223,1408.5009,1425.0184,1392.5593,1395.7545,1248.5375,1238.4088
12235.498,12703.8955,11857.149,11998.617,11725.09,11749.888,10512.057,10428.061
15843.441,16444.377,15392.626,15602.559,15246.998,15272.638,13672.682,13569.712
15442.941,16028.394,15004.157,15209.266,14862.595,14887.339,13327.943,13227.759
1519.6869,1577.0323,1477.6366,1497.9636,1464.5465,1468.0989,1314.8425,1303.5172
