V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2018.1218,2023.1205,2009.8301,2001.8738,2071.0527,2079.2761,2043.6764,2039.934,2051.7424,2041.2721,2005.3676,2055.6123,2031.0195,2039.9379
3003.9941,3008.8174,2986.5125,2975.5518,3078.8135,3091.813,3037.4812,3031.2266,3049.9014,3038.2585,2984.5408,3057.646,3021.5193,3034.7627
1141.7758,1142.1185,1133.1566,1125.5043,1170.9058,1177.1781,1154.2916,1150.6145,1159.7297,1154.5226,1132.6766,1160.8478,1145.6038,1151.9067
1356.0217,1349.243,1330.6948,1319.8751,1386.4329,1398.6061,1374.7712,1354.6431,1359.3088,1362.3837,1344.653,1374.1943,1359.6576,1362.7122
5820.0483,5840.02,5802.774,5777.212,5974.1567,6001.4756,5896.1113,5888.719,5923.267,5888.2676,5786.1113,5927.707,5862.3516,5886.241
3183.654,3182.8975,3165.1123,3156.8303,3269.0044,3289.931,3226.113,3225.009,3236.4338,3224.0305,3167.389,3235.764,3210.6912,3221.2107
4581.273,4699.658,4672.0894,4553.037,4790.679,4789.0225,4728.257,4679.726,4652.13,4659.6353,4537.46,4754.5317,4670.461,4661.5386
1730.1626,1735.2699,1723.6887,1716.9213,1775.3353,1783.0184,1752.3213,1749.5581,1760.04,1749.7428,1719.7694,1760.8663,1741.8506,1749.1262
1584.0631,1588.5994,1577.9375,1571.8673,1625.3789,1632.3711,1604.251,1601.7319,1611.3214,1602.0331,1574.5306,1612.1772,1594.7031,1601.3457
2598.972,2606.107,2592.1367,2579.74,2669.0166,2679.1946,2633.9656,2631.5708,2646.3577,2630.4907,2583.1829,2646.615,2616.6138,2628.312
2433.162,2440.0544,2421.809,2414.5427,2495.8608,2508.0247,2463.4888,2460.716,2475.469,2461.8455,2417.99,2476.9602,2450.1965,2458.433
3591.6416,3605.516,3586.004,3567.9814,3688.5625,3702.9895,3641.9944,3637.92,3657.6995,3634.244,3571.017,3661.0823,3616.741,3633.064
7043.73,7077.3027,7040.6587,6995.968,7232.057,7266.3926,7141.585,7134.8145,7180.4165,7125.1245,7002.1646,7180.4927,7092.49,7127.1685
5697.484,5722.1196,5680.8496,5650.2295,5847.7607,5878.9844,5773.5034,5759.6206,5792.6973,5758.818,5664.8105,5795.812,5739.9814,5758.346
6870.232,6995.405,6971.6045,6860.3076,7106.091,7140.903,7048.6216,7014.348,7040.69,6926.681,6822.9287,7028.255,6956.0537,6972.4116
3093.3362,3100.0647,3076.0525,3066.651,3172.7156,3187.4607,3129.0093,3124.6533,3144.1353,3128.602,3071.0447,3147.3933,3112.2551,3123.8738
3960.4019,3975.796,3954.4624,3934.7642,4068.797,4087.304,4016.177,4014.2148,4035.3252,4010.372,3941.2551,4037.7268,3990.3572,4006.807
9538.155,9557.687,9486.111,9467.844,9784.491,9815.359,9651.989,9637.594,9694.024,9646.914,9477.764,9710.359,9594.186,9636.363
2651.968,2660.8225,2649.255,2632.6428,2727.4236,2740.5488,2692.8997,2689.8857,2703.4546,2685.0903,2641.3037,2702.4587,2672.656,2686.5527
10852.844,10868.876,10791.557,10761.207,11130.527,11173.092,10975.006,10964.013,11027.163,10983.826,10774.431,11048.972,10915.126,10960.494
2640.7124,2649.5632,2638.0059,2621.311,2715.8796,2729.0151,2681.487,2678.437,2692.0532,2673.712,2630.0745,2691.0107,2661.2905,2675.1794
2901.2446,2906.914,2889.698,2879.4177,2976.931,2987.2812,2939.556,2932.99,2950.2058,2929.9854,2883.904,2947.136,2917.8118,2934.9985
1937.0435,1937.8148,1925.6929,1922.0231,1986.4495,1991.9624,1959.9415,1956.6586,1968.7043,1958.2203,1925.9913,1969.7719,1946.8419,1959.4205
2594.4626,2599.193,2583.352,2574.6555,2661.919,2671.2278,2628.3376,2622.4272,2637.8894,2620.0762,2578.8728,2635.104,2609.049,2624.2546
1606.818,1607.2155,1597.1183,1593.6876,1647.5327,1652.3229,1625.4545,1622.4661,1632.4043,1623.7891,1597.0364,1633.398,1614.5244,1624.8844
2410.3599,2414.7,2400.3008,2391.276,2472.9185,2481.8093,2441.7056,2435.8828,2450.0503,2433.3901,2395.08,2447.6497,2423.4758,2437.6606
1732.1833,1732.6239,1721.4946,1718.5524,1776.2153,1781.183,1752.4036,1749.4465,1760.2482,1751.0669,1722.2408,1761.1833,1740.7937,1751.9213
419.1044,419.78455,416.5856,417.63324,430.24377,430.67215,423.8778,424.2795,425.2336,425.03497,416.8065,428.01392,422.39102,423.55743
6375.687,6399.9097,6357.408,6331.288,6548.8306,6578.256,6462.097,6454.7476,6490.687,6453.391,6341.226,6493.37,6428.746,6449.755
602.29895,603.2929,598.7143,600.2201,618.3076,618.93774,609.1906,609.73615,611.09235,610.82367,598.9977,615.1041,607.05237,608.7289
2045.6451,2051.244,2044.0094,2033.9146,2100.591,2105.9783,2073.9856,2072.677,2083.056,2071.8684,2033.7848,2089.1958,2059.596,2071.5286
1855.3369,1860.4102,1853.848,1844.6888,1905.1729,1910.0563,1881.0355,1879.858,1889.2738,1879.1212,1844.5795,1894.8353,1867.9796,1878.8046
6640.6177,6662.9673,6621.787,6592.037,6804.4136,6835.1885,6715.402,6712.2524,6757.5747,6714.197,6594.47,6755.338,6681.4517,6710.836
2283.9402,2291.127,2277.6768,2264.68,2339.7139,2349.082,2310.4873,2303.7979,2317.184,2301.5596,2267.5261,2319.8262,2295.0317,2310.7769
1651.6552,1657.1469,1645.0145,1640.2972,1692.895,1700.0216,1671.8766,1670.4003,1680.5842,1671.2937,1641.5035,1684.1047,1663.1235,1668.8193
3743.1973,3750.2832,3728.8503,3713.592,3841.2383,3853.407,3789.3123,3784.2715,3804.4167,3789.3828,3717.7512,3815.8887,3767.242,3785.0127
2516.0125,2515.0056,2499.7178,2492.6042,2581.566,2586.5024,2546.1257,2538.633,2549.5098,2542.841,2500.5557,2559.1926,2529.487,2541.2437
2350.8418,2350.364,2333.267,2326.8457,2405.1287,2411.7705,2374.4282,2363.8228,2381.3035,2371.3647,2330.7485,2391.0068,2360.2046,2373.1118
2338.9575,2361.9233,2362.5715,2333.458,2409.966,2425.9065,2382.5557,2389.888,2397.848,2371.2412,2328.541,2386.406,2365.9666,2372.9478
3828.6384,3852.6172,3823.8242,3805.6606,3931.2239,3951.6208,3883.349,3876.9792,3901.4292,3872.538,3809.4385,3904.052,3862.0947,3872.2412
6157.3135,6199.8687,6187.515,6145.3525,6346.7705,6367.8677,6276.4497,6280.8345,6313.933,6244.765,6107.1836,6289.9873,6214.1357,6248.5874
7193.481,7213.726,7155.3027,7122.511,7390.44,7427.7993,7290.142,7267.3667,7301.7886,7270.684,7146.376,7324.2744,7241.9233,7259.1255
1143.6842,1146.588,1136.2365,1133.424,1172.4182,1178.3545,1156.1831,1154.1588,1161.6736,1156.0383,1136.0128,1162.3519,1150.8842,1154.3589
8611.442,8617.028,8554.292,8537.518,8827.573,8858.144,8709.742,8694.197,8743.517,8713.793,8551.7,8767.418,8660.944,8696.063
1120.3254,1122.4023,1114.7253,1111.1013,1149.256,1153.5585,1133.721,1131.924,1138.528,1133.197,1112.9918,1140.2738,1127.061,1131.8895
10354.371,10366.872,10289.22,10264.533,10616.326,10656.727,10469.848,10451.302,10512.432,10467.523,10290.379,10522.704,10411.77,10457.234
1023.3456,1024.2262,1016.2196,1013.9245,1049.7753,1052.769,1035.3296,1032.6862,1038.2667,1035.1019,1016.1604,1042.0596,1029.1074,1033.0098
10685.691,10706.804,10606.235,10586.66,10951.258,11004.852,10798.498,10776.674,10846.107,10798.215,10611.582,10856.342,10747.904,10779.585
11268.406,11293.384,11189.844,11165.919,11549.576,11606.538,11389.261,11367.506,11441.969,11388.671,11190.673,11450.101,11336.355,11370.948
10167.166,10173.748,10092.359,10073.679,10421.428,10462.888,10279.447,10257.25,10318.182,10277.002,10099.735,10333.181,10221.822,10261.591
1045.345,1046.1261,1038.0037,1035.7748,1071.5884,1075.868,1056.872,1054.8433,1061.0984,1056.661,1038.5231,1062.3586,1050.917,1055.1746
3005.8948,2999.9011,2969.5898,2972.2158,3076.9387,3089.0955,3029.5725,3025.595,3043.72,3040.9055,2982.8562,3051.3948,3017.334,3026.8074
1105.9536,1108.029,1100.4996,1096.8817,1134.4779,1138.8881,1119.1974,1117.6289,1124.1444,1118.6781,1098.5819,1125.7761,1112.6235,1117.4542
2802.38,2811.4993,2791.822,2781.5845,2876.3914,2887.3103,2839.1758,2833.766,2850.0286,2834.6064,2784.8625,2855.3044,2821.8982,2832.1787
1081.761,1083.4067,1075.633,1072.3341,1109.4769,1113.1487,1094.0017,1092.2864,1098.6661,1094.4854,1074.1819,1101.4962,1087.7517,1092.7233
10519.841,10536.742,10467.23,10432.598,10788.145,10830.939,10645.24,10628.756,10689.189,10638.516,10449.141,10706.128,10582.284,10628.878
1743.551,1745.5706,1730.3461,1727.5778,1787.2574,1795.2255,1761.8502,1759.3358,1769.8907,1763.3109,1732.1915,1772.0878,1753.5348,1759.5153
1708.5283,1709.9904,1695.059,1692.5323,1751.4033,1758.6849,1725.9724,1723.6978,1734.011,1727.6338,1695.8099,1736.449,1717.2725,1723.4907
4901.569,4920.821,4884.928,4867.426,5030.3296,5053.047,4964.567,4958.7505,4989.897,4957.0723,4874.6963,4989.2153,4935.818,4954.94
4032.5542,4042.994,4017.1426,4001.2866,4140.3867,4155.5664,4083.9907,4078.555,4102.0737,4083.6045,4009.0178,4112.1377,4059.0222,4076.0354
3611.0125,3618.8088,3594.113,3582.4854,3702.6667,3713.7175,3655.116,3645.2874,3666.6892,3650.7363,3588.3906,3683.2766,3635.7498,3654.9038
5854.644,5849.738,5797.06,5798.551,6001.285,6022.771,5913.267,5901.2896,5932.926,5920.4272,5813.4067,5951.336,5884.6265,5907.6353
4662.9136,4684.35,4652.911,4631.3154,4788.2036,4809.5356,4724.5737,4719.8306,4749.356,4720.4946,4636.665,4752.038,4699.446,4717.8276
1072.0787,1077.0905,1069.5476,1064.5901,1100.7399,1107.9448,1088.244,1086.2107,1092.2134,1082.5779,1065.2872,1086.8802,1082.2676,1084.9297
3492.0146,3485.329,3472.393,3461.7524,3582.9102,3588.9539,3534.1316,3531.6196,3549.212,3533.2551,3456.0352,3557.0784,3504.032,3530.51
1455.2357,1452.531,1439.5924,1438.5504,1491.5425,1497.2147,1469.6906,1464.7319,1472.7175,1470.9645,1442.962,1478.6383,1462.5836,1468.5061
5437.436,5425.603,5370.1157,5369.9043,5566.5864,5593.4673,5481.403,5465.7007,5496.3745,5492.8853,5393.2065,5514.312,5462.6865,5483.227
5507.1006,5520.744,5481.014,5464.557,5653.404,5672.0537,5579.6724,5567.6123,5597.3647,5572.7515,5473.74,5612.4146,5545.0225,5563.762
3997.1626,3996.0613,3968.18,3959.6675,4098.0664,4111.6445,4042.5857,4033.848,4055.6926,4040.918,3968.2053,4065.8467,4016.0315,4036.4302
3977.0872,3982.8984,3956.0342,3942.5095,4078.087,4093.4363,4024.0354,4015.7483,4038.5198,4018.7273,3950.5454,4048.9656,3997.7874,4019.5073
2549.0435,2551.8481,2530.898,2524.9634,2613.658,2622.902,2576.1462,2571.5276,2587.168,2578.5894,2529.7463,2594.3042,2562.695,2572.724
1948.4023,1950.2908,1933.3807,1930.2251,1996.9371,2005.9208,1968.5934,1965.7119,1977.5791,1970.5208,1935.4653,1980.4814,1959.5684,1966.3096
1033.0117,1033.8749,1025.625,1023.2415,1059.5414,1062.8036,1044.9059,1042.2402,1047.9733,1044.7194,1025.6836,1051.5427,1038.5767,1042.543
1672.1152,1674.521,1663.3536,1657.6392,1714.7847,1721.5077,1691.3551,1688.5642,1698.6189,1690.3955,1660.3776,1701.107,1681.3196,1689.1969
1649.7217,1651.5206,1639.4252,1635.9697,1692.2848,1698.2784,1669.2775,1666.8147,1675.563,1669.395,1639.5101,1680.4816,1660.2837,1666.278
1813.7527,1817.8529,1804.8169,1798.5828,1860.641,1868.1918,1835.3617,1832.1415,1842.7999,1833.6503,1802.369,1845.087,1825.1134,1832.489
1939.2485,1943.9347,1929.8198,1923.7601,1989.6212,1997.0348,1963.297,1959.3362,1970.839,1960.8322,1926.2123,1974.2172,1951.6147,1959.1776
3266.4377,3267.7644,3242.6533,3239.2551,3351.498,3362.9387,3304.8552,3300.6614,3315.5632,3308.3542,3246.308,3326.7883,3287.097,3294.0703
10045.315,10054.065,9972.577,9948.352,10302.279,10336.696,10159.626,10133.553,10189.797,10158.148,9973.934,10222.335,10097.918,10136.672
2523.005,2526.7861,2508.1846,2500.1475,2587.375,2597.1038,2551.881,2546.359,2561.3843,2550.0762,2506.035,2565.7332,2537.3572,2548.239
1577.511,1578.5706,1565.8282,1562.4283,1617.4573,1622.7086,1594.1705,1591.2439,1600.5514,1595.9116,1565.2928,1605.79,1585.7218,1592.0336
1126.8898,1129.3639,1118.9749,1116.5735,1155.0116,1160.6788,1138.915,1136.8087,1144.2881,1138.921,1119.1251,1145.0616,1133.6333,1137.0927
3016.6206,3011.7666,2982.886,2983.646,3088.663,3100.5825,3041.6282,3037.725,3055.8328,3051.9453,2993.6057,3063.5735,3028.6565,3038.969
1742.6462,1744.7858,1731.1992,1727.9044,1786.9856,1793.7593,1762.5963,1759.588,1769.8448,1762.7408,1731.2456,1773.3752,1753.1237,1759.5403
