V1,V2,V3,V4,V5,V6
7275.413,7541.905,5926.5933,5290.697,4721.5366,4971.861
1218.0947,1249.5242,962.44305,843.7514,770.2263,805.1649
8004.357,8281.917,6547.2896,5881.5312,5105.475,5685.8687
9197.72,9512.372,7515.531,6743.7495,5862.452,6527.98
6445.704,6711.0947,5301.322,4867.0454,4129.391,4585.544
3560.591,3702.6606,2920.526,2671.5156,2268.7278,2506.447
3166.7485,3285.9592,2590.3623,2352.06,2014.8387,2221.4204
2330.651,2415.3604,1897.1893,1689.1963,1512.3627,1585.0828
2179.1426,2256.2048,1776.933,1586.0332,1403.3687,1508.1218
2172.448,2248.6763,1769.4332,1575.9287,1399.7311,1494.1991
1410.3998,1460.4512,1149.2229,1025.1956,909.5123,972.7614
1841.9354,1905.3739,1505.4268,1348.6978,1175.8959,1303.9532
4656.7856,4824.256,3814.824,3451.015,2977.0479,3320.04
4977.9507,5151.4805,4076.3875,3657.8623,3188.633,3518.7585
5187.644,5375.025,4253.3184,3846.9,3318.2744,3676.7036
2674.5488,2772.5042,2190.449,1969.3298,1722.1516,1886.1876
3783.885,3920.3188,3104.9492,2795.2566,2423.1382,2693.0093
3227.9412,3344.734,2644.1643,2373.6853,2076.9905,2272.9807
2482.2234,2619.077,2048.009,1923.7592,1548.5187,1714.8751
5964.673,6163.7954,4850.866,4337.7217,3808.6775,4173.343
8195.507,8484.363,6677.224,6070.278,5194.4385,5829.6772
3673.4502,3813.5342,2998.3904,2732.3708,2326.207,2563.8767
8407.836,8673.757,6798.101,6027.362,5367.6763,5754.5166
7550.5024,7782.9766,6127.483,5449.7593,4777.019,5287.9087
2066.0308,2136.542,1682.4164,1517.9761,1309.3254,1466.0936
6113.347,6331.472,4973.5635,4510.322,3864.489,4253.946
1495.9164,1547.4186,1217.1832,1098.8337,946.90955,1052.985
1464.8489,1512.6364,1190.2762,1068.128,926.70874,1029.5209
3860.6262,3992.6875,3143.763,2802.4343,2477.5908,2672.4492
4156.0825,4299.722,3400.3,3045.7815,2654.778,2942.7312
3561.3,3689.6921,2902.9575,2582.5027,2304.4153,2434.5068
5060.5728,5236.2476,4125.6577,3682.3608,3250.365,3513.6316
1199.8333,1242.6516,980.38403,876.68536,771.2973,838.70496
1592.6046,1649.2363,1300.4417,1161.5679,1024.332,1108.8701
3128.2004,3235.4514,2553.0486,2282.1626,2001.3065,2193.011
1093.3064,1132.0325,891.37616,795.2517,704.0353,756.23364
3644.5322,3768.0808,2972.2498,2655.234,2330.0837,2551.4905
