V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
669.98254,628.3042,658.0301,619.9051,632.8253,680.6414,656.7982,656.7512,650.26733,684.3158,666.5008,701.1186,693.6947,717.1538,693.9575,687.49243,664.8708,673.7706,647.31934,657.08594,627.8991,661.0665,641.09955,633.1315,659.51013,641.8087,630.7006,618.58984,633.01044,644.9291,638.0865,638.07904,646.65485,660.8075,662.0292,659.83136,701.8409,682.39856,661.7924,693.983,655.9996,674.5411,648.8499,654.90576,641.09155,667.09753,648.81964,626.86786
2955.8257,2752.1655,2904.7666,2702.4517,2772.457,3012.17,2893.2834,2879.5798,2839.9666,3008.4482,2906.4119,3096.898,3050.0037,3170.3735,3063.3398,3021.9976,2907.0352,2972.295,2833.576,2886.5142,2750.857,2922.7988,2808.6978,2772.8286,2901.999,2818.6826,2763.8618,2711.8032,2779.2642,2849.8447,2817.2026,2788.8047,2828.4622,2906.612,2899.566,2884.162,3098.751,2999.12,2886.7332,3062.6377,2872.605,2967.1946,2843.7307,2872.1729,2800.1304,2947.9404,2845.903,2741.587
1123.3579,1060.6597,1109.0693,1042.132,1064.0024,1143.1162,1108.8213,1104.8503,1091.1436,1146.6753,1114.1614,1178.3711,1160.8359,1200.8718,1167.2056,1148.8699,1109.6118,1133.8755,1083.7004,1101.3654,1057.811,1108.5839,1070.4408,1060.7423,1104.1989,1077.4635,1057.8124,1039.5269,1061.2278,1090.2781,1082.7314,1069.3928,1082.4441,1112.2012,1109.9769,1104.4489,1175.7161,1141.4802,1102.3922,1160.5891,1098.3408,1124.7285,1086.3845,1094.6316,1067.7417,1117.9934,1081.7053,1049.6711
4831.7065,4479.293,4757.0654,4363.337,4503.252,4952.5815,4747.2363,4672.2046,4587.8154,4898.712,4668.3794,5073.1562,4954.866,5193.8564,5015.8115,4901.9023,4682.0713,4868.2285,4588.155,4692.113,4477.3735,4787.6387,4537.0674,4488.4585,4734.4873,4586.062,4489.1753,4406.9224,4501.5366,4700.2114,4648.0386,4507.914,4565.7305,4738.6943,4698.5176,4652.8857,5066.7607,4864.202,4631.136,4993.112,4647.4062,4812.9766,4613.8154,4647.148,4501.906,4831.418,4605.6157,4424.1294
2553.4238,2296.9863,2489.1074,2219.9443,2316.6345,2631.6797,2475.2437,2408.023,2337.6912,2555.4463,2383.2812,2670.7327,2592.0393,2764.8218,2639.5857,2566.4229,2415.0952,2552.6333,2364.068,2444.455,2303.096,2530.2393,2357.8403,2315.3616,2497.3867,2387.223,2324.6128,2269.2537,2331.543,2461.5132,2419.4854,2310.0298,2341.0962,2459.1987,2420.5396,2385.9336,2679.0415,2531.5044,2367.7046,2642.7363,2401.6423,2529.6829,2392.5713,2417.208,2319.0405,2570.6519,2405.9792,2275.4316
6073.8765,6095.328,6088.8105,6119.5605,6094.871,6092.6685,6159.159,6301.329,6361.5303,6367.0654,6500.438,6412.8984,6431.5566,6398.3975,6351.989,6341.084,6357.2114,6204.022,6181.9805,6138.2896,6032.7217,5950.032,6032.258,6035.3066,6012.832,6014.038,5977.368,5921.8496,5975.332,5956.2065,5991.1387,6192.249,6241.254,6227.4097,6344.756,6366.7197,6346.35,6371.323,6408.5723,6259.147,6233.073,6180.8105,6116.047,6129.559,6115.135,5947.0293,6013.2734,6012.975
37996.414,35394.484,37420.207,34507.883,35515.16,38891.81,37399.414,36869.574,36200.914,38543.953,36856.844,39863.97,38995.81,40789.484,39455.0,38581.523,36894.676,38313.547,36162.586,36970.297,35355.617,37591.516,35743.266,35384.33,37266.668,36148.88,35381.266,34746.67,35454.39,36974.117,36624.957,35554.938,35993.016,37333.22,37032.25,36697.14,39791.934,38256.875,36480.023,39216.633,36648.133,37823.0,36352.086,36607.625,35462.016,37979.598,36243.914,34919.875
30301.121,28734.096,29868.494,28453.69,28914.36,30713.29,29863.068,29996.875,29798.125,31070.355,30538.322,31767.234,31496.12,32346.914,31432.57,31174.422,30363.51,30534.756,29524.32,29862.062,28659.732,29851.19,29185.34,28878.473,29842.115,29176.387,28737.998,28223.951,28838.008,29231.922,29009.535,29202.924,29558.564,30075.434,30225.082,30170.693,31735.152,31020.484,30290.469,31376.848,29896.697,30578.896,29530.06,29771.367,29260.242,30060.902,29444.537,28632.723
36075.625,34018.418,35604.715,33477.203,34207.508,36718.652,35575.24,35489.52,35117.1,36871.383,35874.13,37883.92,37339.016,38593.94,37472.297,36947.562,35755.027,36391.363,34877.203,35394.63,33934.55,35630.242,34450.164,34110.203,35449.273,34590.754,33992.164,33422.688,34125.484,34975.453,34692.426,34430.695,34862.625,35723.94,35717.875,35544.48,37811.24,36757.926,35568.95,37319.89,35315.05,36235.562,34922.598,35196.727,34414.676,35877.875,34812.04,33753.477
416.6562,400.05457,413.90076,394.6028,401.1172,423.41794,415.47723,415.62164,412.7135,428.2161,420.4885,439.01776,432.8904,444.2675,434.45776,427.47766,416.9928,422.45016,407.0685,411.18396,397.61057,410.7303,400.38303,398.09827,409.65402,402.6129,396.50125,390.94287,397.41907,407.32098,405.97955,403.9054,408.1231,416.70813,417.80408,415.78854,436.5771,426.75085,415.62195,430.09454,411.7323,418.4298,406.43607,408.64545,400.51044,412.8051,402.775,394.07104
30587.008,29787.398,30348.504,29758.07,29913.68,30834.648,30514.408,30977.92,31034.314,31708.62,31808.744,32154.277,32111.18,32459.441,31823.154,31728.816,31389.309,30982.832,30462.898,30527.535,29594.697,30026.89,29967.943,29767.37,30226.785,29855.424,29550.506,29117.41,29593.168,29645.686,29589.816,30337.473,30636.188,30815.178,31231.918,31266.2,32004.107,31713.227,31478.262,31632.848,30793.021,31058.51,30297.254,30484.312,30222.71,30158.428,30059.836,29596.098
8415.784,7955.7427,8283.306,7878.9375,8010.9917,8531.756,8277.747,8311.928,8251.187,8620.396,8463.828,8816.918,8743.603,8990.318,8723.681,8655.666,8423.203,8469.638,8185.2715,8285.181,7937.703,8288.869,8100.852,8006.876,8290.766,8092.4946,7969.714,7820.301,7996.8657,8101.922,8032.488,8091.879,8191.7207,8336.463,8377.754,8362.092,8814.162,8607.054,8398.717,8719.113,8291.611,8495.1875,8190.8057,8261.793,8118.1123,8355.201,8177.1074,7938.163
580.13,555.1118,574.0044,549.86975,557.42487,586.3799,573.96704,578.475,576.15686,596.14954,589.4317,608.1581,604.13293,617.2725,601.9663,597.2956,583.7458,586.88306,567.91235,573.53125,552.9438,571.0142,560.12933,556.0032,569.8545,560.77277,552.35223,543.345,555.6107,561.0796,558.92523,563.47394,570.0983,578.6211,582.0127,582.12,607.1498,595.49634,583.96155,600.1495,575.00104,585.03186,567.5797,572.03973,562.91693,573.5415,563.48065,552.02234
162.27792,153.52063,160.23248,150.98703,154.12704,165.19153,160.46179,159.77994,158.0148,165.86671,161.26503,170.2955,167.83408,173.50662,168.6517,165.99144,160.55461,163.85098,156.84552,159.20236,153.03543,160.0518,154.82617,153.46962,159.64967,155.78421,153.13367,150.38425,153.29112,157.60085,156.51636,154.90927,156.73578,160.74452,160.73256,159.8428,169.94672,165.01085,159.6537,167.65234,158.88315,162.61313,157.16202,158.26678,154.52374,161.46759,156.37779,151.81662
14223.103,13509.08,14030.298,13380.459,13591.574,14414.751,14030.074,14099.585,14012.623,14594.361,14356.884,14917.008,14791.635,15178.559,14759.841,14640.227,14268.742,14340.914,13874.754,14027.11,13471.004,14013.686,13709.791,13571.4375,14008.588,13705.908,13503.374,13265.713,13550.336,13730.396,13631.623,13729.022,13895.269,14132.833,14206.244,14182.92,14897.128,14572.879,14239.607,14727.477,14048.726,14356.412,13873.488,13985.162,13749.727,14105.913,13828.795,13456.871
1270.9767,1186.4131,1252.0768,1161.4675,1193.0206,1297.0781,1247.9062,1238.813,1220.7648,1293.5535,1246.1174,1333.4106,1309.9789,1362.7139,1318.9121,1297.5599,1246.1877,1280.6409,1217.6138,1241.1655,1185.3745,1258.0636,1204.1118,1191.1443,1246.8356,1211.9706,1188.311,1167.4336,1193.9971,1231.0952,1218.8063,1198.0392,1214.5886,1251.9131,1246.307,1238.2471,1332.3281,1288.5969,1236.7123,1315.0537,1233.898,1272.6755,1221.4136,1232.5687,1199.8887,1267.941,1220.4536,1177.6003
52714.035,49245.91,51906.63,48339.28,49584.46,53765.133,51767.312,51483.52,50785.35,53689.555,51886.63,55322.176,54400.906,56536.953,54700.594,53851.86,51884.133,53089.258,50582.633,51502.258,49177.445,52107.953,50089.61,49486.14,51729.35,50314.555,49339.25,48457.78,49608.66,50985.027,50473.688,49862.46,50518.645,51940.14,51807.586,51490.68,55287.008,53503.703,51497.668,54580.75,51243.984,52891.355,50735.43,51189.164,49906.773,52522.95,50695.92,48914.594
30303.266,28886.781,29905.805,28667.746,29071.268,30669.715,29935.383,30147.781,29994.965,31138.006,30750.824,31794.754,31564.97,32322.361,31469.672,31229.94,30530.965,30551.91,29648.674,29927.156,28762.705,29813.895,29310.574,28998.963,29864.236,29262.906,28836.545,28343.982,28949.586,29252.74,29060.484,29387.637,29724.611,30171.102,30371.64,30325.031,31738.672,31107.688,30476.945,31385.184,30022.773,30621.768,29617.58,29866.094,29389.873,30033.434,29512.56,28753.871
2297.8167,2193.66,2270.2312,2177.253,2207.7585,2325.5176,2271.7466,2290.159,2279.622,2362.8284,2335.9446,2412.6826,2394.3958,2450.2583,2387.54,2369.1973,2318.2778,2318.6777,2250.517,2270.8462,2183.8638,2261.2637,2224.1748,2201.391,2262.7236,2220.4263,2187.9592,2152.0508,2198.7751,2220.0598,2206.8801,2232.5093,2258.4248,2291.0874,2306.468,2303.3142,2407.8618,2361.7349,2315.5583,2380.07,2278.2312,2323.5032,2247.5405,2266.0898,2231.1665,2274.8213,2238.454,2183.2686
