V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
38212.426,38348.836,37827.098,38240.082,38491.3,38448.008,38393.12,38100.668,38278.73,38133.43,38325.516,38126.54,38168.41
3812.0605,3837.7744,3777.9563,3817.8862,3851.9458,3838.9485,3837.9148,3805.786,3826.2126,3808.677,3832.8508,3808.3918,3811.4993
9695.923,9718.098,9611.055,9709.16,9753.121,9745.388,9740.788,9692.335,9761.92,9700.655,9729.289,9684.147,9679.484
2390.9692,2322.7634,2335.9124,2375.107,2361.0085,2391.3313,2344.08,2356.0542,2330.9958,2349.7273,2363.7258,2352.757,2362.5696
1695.4564,1684.5067,1704.0735,1708.0366,1712.8298,1724.8141,1671.8876,1617.5249,1673.4283,1696.3412,1672.1321,1744.9618,1692.4119
598.2188,596.8872,574.406,567.1278,627.9039,582.14014,607.75977,597.2006,581.78876,579.4083,590.98285,570.05176,583.1259
2890.0024,2825.1829,2867.1858,2897.9863,2888.9392,2836.9194,2862.8088,2867.6536,2799.5142,2875.4548,2838.0068,2862.0532,2909.245
2300.6455,2415.0203,2403.0623,2364.7798,2425.3235,2393.8857,2261.2715,2251.2407,2302.6873,2225.8513,2310.5515,2337.97,2336.5295
6205.3394,6184.9453,6257.314,6152.473,6295.3906,6272.9004,6093.414,6158.19,6183.479,6123.6953,6091.106,6130.4634,6125.623
4994.7383,4992.42,4953.693,5009.781,4978.002,4979.674,5018.735,5017.042,5036.703,5020.1646,5029.9224,4998.525,4972.927
409.1502,407.6577,397.87912,407.2092,421.08923,417.4092,402.6762,394.14502,395.2184,394.8156,395.7803,399.40457,410.10785
1060.9379,1060.3241,1054.255,1064.4187,1061.7241,1062.6046,1061.9626,1059.8799,1061.8214,1065.6216,1060.123,1063.6349,1056.3824
2232.8657,2212.5906,2219.4475,2239.246,2214.5674,2229.0947,2224.0957,2230.8687,2245.1936,2236.2332,2221.95,2238.4998,2221.9333
2239.128,2219.046,2225.6418,2243.7664,2224.0332,2231.853,2239.3994,2241.9395,2256.2556,2246.0422,2229.7878,2243.7007,2223.7153
3618.3872,3435.283,3628.7898,3635.1587,3416.452,3454.275,3557.4275,3666.3743,3634.0486,3659.1362,3475.2646,3640.9644,3529.6467
3618.3872,3435.283,3628.7898,3635.1587,3416.452,3454.275,3557.4275,3666.3743,3634.0486,3659.1362,3475.2646,3640.9644,3529.6467
12110.39,12128.783,12031.607,12138.701,12138.194,12141.237,12169.467,12126.565,12193.09,12145.395,12173.838,12130.544,12087.037
4491.5117,4499.17,4463.801,4493.406,4531.343,4532.2363,4493.4565,4465.8716,4500.365,4475.6685,4477.812,4496.9585,4486.815
2998.4822,2978.658,3011.6514,3085.0054,2948.0183,3012.3853,3071.4788,3040.265,2975.0686,3038.7764,3012.3508,3080.7544,3123.8142
4529.6284,4432.87,4488.3994,4508.4414,4524.9785,4494.403,4528.205,4527.12,4480.0737,4518.4854,4519.0176,4497.711,4529.0005
2095.3672,2004.9218,2080.679,2066.739,2060.6282,2071.724,2037.4592,2049.5457,2045.4894,2073.7893,2009.1605,2075.4333,2100.3882
3650.3296,3659.7664,3611.621,3526.975,3716.9358,3608.442,3706.8027,3656.1636,3737.1726,3702.3523,3760.43,3696.9766,3558.3215
830.174,819.4264,827.4609,819.241,830.2583,836.8555,838.4272,828.0594,826.36847,832.7403,833.87634,825.5241,831.885
6684.9565,6471.0605,6647.6367,6787.821,6411.629,6552.34,6760.4272,6662.676,6698.923,6751.5386,6543.985,6828.0063,6736.257
1038.8569,1017.40265,1036.717,1036.8435,1026.6188,1026.9647,1023.10126,1019.5459,1048.8041,1028.7643,1007.4658,1038.6052,1028.1099
