V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2014.0994,2024.9639,1998.1927,2035.9292,2062.6013,2050.9365,2022.176,2022.409,2056.9607,2038.53,2055.7954,2007.7555,2054.9792,2066.871
2996.8833,3013.756,2969.3733,3025.5667,3061.2534,3045.3887,2998.406,2998.951,3058.954,3032.4685,3060.532,2985.39,3056.3677,3073.4385
1140.6799,1143.0894,1124.0425,1144.4459,1164.5013,1156.9148,1142.6438,1135.9484,1160.7915,1149.9352,1159.2457,1133.1713,1156.14,1164.4623
1350.6228,1351.0043,1317.2521,1336.8597,1375.833,1371.3972,1361.8787,1332.1938,1355.7045,1350.2416,1371.0713,1344.1926,1366.5087,1377.3209
5807.795,5844.2197,5769.933,5875.991,5952.686,5921.8716,5839.32,5842.864,5937.5903,5881.02,5932.1143,5789.7974,5931.7666,5964.838
3171.324,3189.5857,3149.1487,3204.557,3249.6047,3242.6826,3190.3687,3194.734,3243.3257,3213.6716,3245.9746,3163.0579,3243.978,3264.474
4563.631,4644.5723,4618.1606,4658.4365,4831.0527,4733.7427,4744.648,4706.7275,4656.3877,4695.5923,4670.965,4623.019,4709.586,4719.743
1726.0688,1736.9912,1714.2898,1745.7318,1768.2777,1758.942,1734.8759,1735.1669,1764.2196,1746.9178,1762.996,1720.0253,1762.0872,1772.519
1580.3125,1590.2378,1569.383,1598.2582,1618.8378,1610.2805,1588.1229,1588.4326,1615.1688,1599.455,1614.1344,1574.7894,1613.2653,1622.7614
2593.52,2608.3567,2578.5876,2623.7244,2660.3188,2645.1206,2609.5298,2612.461,2652.333,2627.2893,2647.7957,2585.806,2648.5525,2664.3096
2427.136,2443.4275,2410.7493,2456.2004,2486.13,2474.8364,2437.7363,2440.7456,2481.811,2459.2695,2479.9915,2420.1902,2480.166,2492.0952
3584.5957,3606.5837,3566.578,3630.9636,3678.0237,3656.2856,3609.932,3612.831,3666.0774,3631.3662,3661.2263,3576.4033,3660.872,3681.6428
7032.8687,7075.134,6996.861,7120.542,7213.755,7174.731,7083.456,7087.4263,7194.0913,7119.195,7177.5366,7011.321,7178.501,7219.427
5686.42,5728.755,5647.4604,5745.842,5827.9644,5800.5767,5723.738,5716.334,5807.0015,5747.746,5806.0938,5662.45,5804.846,5835.4136
6864.268,6947.084,6906.215,6989.6514,7163.1606,7091.3643,7113.3354,7067.827,7042.4873,6933.7583,6985.5234,6868.824,7017.4287,7066.7153
3086.4966,3104.6255,3060.5447,3119.2004,3159.0015,3143.3008,3094.3752,3096.5654,3152.362,3124.7993,3149.7483,3074.215,3149.57,3165.7212
