V1,V2,V3,V4,V5,V6,V7,V8
6951.7964,6802.4556,6894.363,6816.894,6897.9873,6921.2676,6977.9272,6999.1787
7145.237,7059.0195,7154.4785,7044.2534,7085.092,7182.6514,7245.8374,7230.58
7294.328,7163.3853,7253.067,7192.1724,7212.373,7274.4756,7345.5815,7373.2617
7767.363,7712.456,7783.976,7670.174,7705.8906,7852.0356,7884.7944,7874.433
1050.0338,935.22943,1173.9734,1389.6942,1062.2573,958.9719,1192.8713,1363.5383
9931.987,9840.07,9971.832,9938.706,9930.747,10083.386,10136.284,10199.54
3405.1604,3381.405,3400.2136,3391.7996,3400.368,3459.3909,3453.595,3481.683
2635.3564,2601.633,2642.4326,2642.5515,2635.358,2666.1924,2688.2563,2710.9004
2528.3,2504.6636,2529.4214,2525.5627,2524.654,2562.9731,2570.0686,2590.7893
2592.1978,2569.0164,2609.3875,2590.081,2581.5173,2625.2878,2647.5164,2656.4548
1179.0312,1169.5277,1177.4358,1169.0262,1174.4343,1194.3237,1194.2135,1200.7778
3353.3198,3187.2932,3388.1553,3441.0798,3358.1519,3278.2512,3460.974,3512.0435
1789.1561,1780.7894,1804.3258,1793.3835,1797.745,1831.5504,1835.7954,1842.9453
12614.263,12476.71,12571.832,12601.966,12746.3,12890.188,12839.703,12968.197
1268.2059,1248.1996,1321.5209,1327.5614,1255.2871,1274.5768,1342.1567,1350.6354
2064.9644,2034.4595,2129.5532,2112.5872,2088.8347,2106.3506,2175.885,2170.8005
2472.395,2474.9612,2471.243,2480.1995,2479.1926,2539.238,2516.7197,2544.974
4807.886,4662.5776,4916.608,4864.5664,4763.3535,4759.098,4984.771,4990.079
5773.871,5727.7354,5818.539,5802.6133,5809.9355,5900.685,5934.735,5962.505
6373.3745,6329.2646,6378.0254,6400.755,6386.768,6494.436,6499.223,6567.0063
9839.753,9755.544,9884.684,9898.451,9863.572,10016.048,10074.916,10156.189
5140.6396,5142.1523,5250.7686,5275.512,5148.116,5281.5405,5349.81,5384.454
