V1,V2,V3,V4,V5,V6
7268.9385,7719.82,6009.019,5188.8516,4766.3877,4672.294
1226.5375,1278.0337,976.57794,820.50244,772.0918,757.60535
7931.206,8407.335,6605.559,5709.059,5089.464,5272.435
9121.943,9667.257,7589.4478,6559.4146,5853.6387,6054.0264
6307.3105,6670.785,5264.288,4553.7695,3996.4385,4256.32
3494.4744,3683.3777,2894.0757,2487.2131,2187.3079,2340.5884
3116.691,3282.7476,2575.8699,2201.9841,1952.1864,2075.5159
2327.096,2471.149,1923.0853,1655.5465,1526.7468,1489.216
2169.5073,2301.7607,1798.6613,1549.1754,1410.1056,1408.9877
2163.814,2295.3193,1792.1481,1540.2745,1407.6582,1397.7355
1405.0615,1490.715,1163.8225,1002.1383,914.7435,909.8396
1826.9889,1936.4973,1520.5936,1311.4811,1174.7745,1209.4841
4597.352,4871.891,3833.0059,3323.9214,2948.052,3078.1084
4942.333,5242.9233,4117.4785,3561.2393,3189.444,3270.358
5111.147,5416.4956,4266.9604,3688.7925,3273.7412,3413.1125
2657.8748,2823.3584,2210.8438,1919.3608,1725.9406,1755.1904
3743.125,3972.9866,3124.405,2704.6907,2411.4355,2494.8247
3207.105,3406.0818,2669.403,2312.4941,2080.987,2114.8894
2490.9048,2676.0771,2011.039,1749.1649,1554.8271,1715.3655
5930.229,6276.225,4911.3105,4232.7695,3815.2085,3886.8281
8124.637,8531.872,6671.303,5719.8755,5049.688,5429.555
3646.0535,3816.3308,2972.718,2530.102,2237.6506,2412.496
8372.95,8844.6875,6903.871,5893.621,5391.9116,5379.34
7526.1763,7928.248,6197.7896,5281.6533,4759.647,4915.8564
2052.9321,2159.5642,1688.5438,1445.4865,1285.1128,1363.676
6074.018,6351.8657,4945.745,4196.5737,3729.0693,4007.0662
1487.1145,1560.3606,1217.3074,1036.814,923.26465,983.1175
1457.619,1533.0232,1197.8893,1022.0211,912.79724,959.47534
3841.0525,4070.572,3183.1458,2735.8552,2486.8545,2494.5767
4121.0884,4369.347,3433.0305,2959.9414,2651.611,2728.541
3550.251,3770.1965,2940.1213,2525.5486,2321.5576,2280.9443
5034.078,5337.566,4175.049,3593.559,3261.8875,3277.8936
1192.6455,1265.7812,991.06384,854.4415,773.3457,781.09
1583.7161,1680.6611,1315.1266,1132.6986,1027.7448,1033.6398
3106.8906,3292.9485,2581.4795,2222.9363,2003.3333,2039.7684
1088.3893,1154.8334,902.35706,776.74506,707.37744,706.55194
3620.303,3835.5305,3006.6123,2587.0615,2332.639,2373.999
6184.3613,6708.6294,5025.2583,4593.3936,4303.5977,3746.6458
3636.5576,3862.2156,3046.5479,2650.6135,2320.6184,2484.413
4566.3076,4839.01,3809.1816,3304.756,2921.1775,3071.1548
14367.3545,15243.861,11955.049,10353.322,9280.127,9511.852
5113.8384,5379.1323,4214.1367,3687.302,3168.5923,3427.1519
2630.8894,2777.0002,2185.7004,1905.1979,1650.5267,1774.8475
9501.621,10065.258,7934.712,6872.022,6060.8384,6412.102
9540.479,10108.949,7949.0635,6877.553,6115.316,6371.959
5724.44,6042.4253,4706.347,4128.8,3551.6323,3895.0537
5731.4985,6050.0366,4712.204,4133.93,3556.1504,3900.0918
6992.5566,7430.308,5745.716,4955.146,4637.656,4383.43
2423.7046,2572.6501,2009.5662,1733.1843,1578.8469,1574.1978
17942.629,19041.17,14884.816,12843.819,11666.548,11687.109
7943.6997,8432.285,6589.1865,5686.437,5170.946,5169.313
15150.026,16025.396,12500.791,11001.536,9448.718,10150.266
15585.932,16335.32,13748.218,12396.06,11837.288,12376.77
7567.781,8254.497,6339.367,5677.261,5019.31,5459.142
2303.5994,2505.9517,1912.3542,1697.1799,1490.7938,1632.5277
9937.433,10688.346,8702.987,7952.553,7362.2197,7691.2627
1833.065,1926.0707,1505.7377,1318.6616,1129.7544,1225.0537
9766.947,10350.389,8144.7373,7061.221,6250.9507,6570.76
