V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
38198.19,38374.758,37921.953,38270.152,38273.08,38365.297,38376.49,37908.883,38281.56,38124.25,38406.254,38111.402,38201.504
3812.321,3839.4163,3786.2883,3819.2695,3831.0068,3832.556,3835.428,3782.3508,3825.8374,3808.4263,3837.013,3801.5356,3813.3567
9714.755,9718.683,9642.1,9725.482,9710.211,9738.127,9747.588,9694.193,9759.815,9714.793,9773.803,9703.307,9704.79
2364.1987,2341.6545,2333.5771,2370.0337,2359.17,2376.837,2338.9722,2316.9663,2332.2598,2342.9978,2349.9238,2351.7607,2341.6802
1691.7217,1691.7411,1717.9381,1709.6382,1692.6053,1707.3066,1679.4016,1597.5498,1657.5511,1681.7997,1643.5647,1683.8723,1692.082
584.15393,603.21967,564.0077,574.8925,622.192,576.85345,602.7256,562.3038,587.73975,578.0444,577.0707,566.3459,564.26886
2911.617,2799.6519,2879.503,2922.1897,2858.363,2841.2446,2906.2595,2893.862,2817.15,2883.6062,2818.1145,2876.185,2927.975
2335.3513,2376.9492,2365.8823,2385.2305,2405.6292,2359.7366,2349.3457,2257.342,2347.3755,2291.931,2317.2727,2314.6755,2374.2515
6201.8037,6164.0684,6220.1997,6226.28,6254.7275,6221.075,6193.02,6171.845,6221.787,6184.497,6148.4595,6166.865,6167.746
5020.101,4971.639,4975.582,5021.362,4957.639,4995.6143,5028.019,5037.347,5042.8345,5025.023,5050.7007,5033.7373,4996.738
401.91098,412.95496,398.16187,405.47885,416.11786,413.8504,399.53424,380.2673,393.87872,396.59656,394.02386,391.4696,403.77103
1061.5586,1058.377,1059.2233,1066.7961,1054.8978,1061.9568,1064.0696,1059.1653,1060.3679,1064.1388,1062.743,1063.4153,1061.336
2235.1433,2214.102,2229.3074,2246.1978,2209.3394,2228.224,2231.0935,2245.6672,2244.3396,2239.396,2239.9033,2254.6943,2229.3064
2243.262,2218.6086,2238.3677,2250.5503,2216.3486,2232.178,2246.9136,2259.8088,2255.229,2251.5835,2248.2551,2259.611,2233.1233
3625.234,3418.1533,3695.0476,3672.293,3407.5505,3504.8877,3610.1492,3789.4583,3635.092,3684.4932,3566.3892,3755.5332,3574.5457
3625.234,3418.1533,3695.0476,3672.293,3407.5505,3504.8877,3610.1492,3789.4583,3635.092,3684.4932,3566.3892,3755.5332,3574.5457
12134.794,12118.7705,12066.316,12162.421,12093.82,12138.238,12178.832,12130.276,12194.656,12144.313,12207.899,12174.209,12112.815
4473.7476,4521.243,4470.619,4497.6685,4513.6167,4507.291,4496.5073,4438.112,4495.1187,4474.092,4495.1978,4483.577,4483.066
2945.6467,3003.9324,3030.875,3083.7297,2926.113,2985.3984,3074.9714,3072.0132,2934.408,2980.2837,2979.4504,3106.7246,3105.4436
4505.1777,4443.4155,4477.483,4525.2227,4509.0884,4474.2266,4534.5923,4491.6924,4480.306,4500.0396,4486.9995,4513.6826,4511.179
2059.3455,2035.3618,2075.627,2078.3826,2055.2783,2053.5469,2056.144,2023.4031,2029.5964,2045.0635,2019.8092,2057.898,2104.9744
3661.0793,3667.706,3559.3787,3592.326,3739.1238,3548.8066,3720.1567,3616.6377,3767.1643,3666.2354,3663.165,3713.5215,3516.2747
826.6898,821.89294,827.8319,827.57227,824.25806,832.5246,831.5867,825.9489,822.5848,821.45776,823.4911,834.30664,825.7885
6641.977,6451.9297,6717.5845,6794.3325,6322.6997,6541.11,6758.5513,6839.8364,6602.736,6693.0815,6540.6387,6910.8057,6732.2427
1042.4817,1016.94684,1041.2936,1044.3127,1021.88715,1033.5691,1024.9828,1026.7489,1046.7379,1036.9943,1020.22894,1042.2407,1028.1896
2989.4893,2961.7012,2965.8813,2998.896,3001.5334,2965.2588,3000.956,3012.8167,3007.3928,3042.1323,3000.4866,3021.942,2977.6008
2237.179,2164.9917,2186.4922,2275.1746,2278.0388,2153.3599,2237.9805,2247.0308,2140.9524,2248.8088,2161.8604,2158.065,2268.8716
3409.878,3388.325,3684.17,3677.3647,3468.83,3330.8987,3616.2292,3747.731,3326.3938,3413.831,3360.8704,3715.0964,3690.9934
656.0425,660.4761,655.1078,664.2575,662.1087,653.781,670.269,655.7583,653.33575,650.1618,652.11774,653.9281,652.3541
3754.4832,3856.599,3715.3545,3685.9812,3889.029,3742.2441,3833.8794,3694.1353,3881.8845,3747.392,3809.3118,3788.4575,3640.4392
770.93555,730.088,788.3834,789.3549,738.80585,752.5748,738.0281,744.6118,756.0316,774.9414,726.1657,792.19006,757.09894
3984.5437,3830.3857,3928.8665,3939.451,3897.6892,3882.2812,3965.1865,3973.4675,3974.6653,3956.6555,3914.6287,3946.3687,3961.8542
1532.8298,1515.7397,1519.2601,1526.8737,1528.0946,1572.8441,1497.487,1435.0458,1480.9756,1491.389,1461.6116,1476.1206,1510.4451
1119.2034,1118.7904,1126.7388,1136.0333,1120.6488,1126.1416,1115.1505,1094.6381,1109.2743,1113.2477,1100.749,1113.1273,1125.6582
1118.9944,1129.5498,1110.7987,1151.988,1137.1133,1145.9692,1115.1802,1091.5133,1075.78,1105.5876,1110.6615,1094.0247,1160.9814
16095.813,15991.996,16293.625,16277.776,15848.0625,15823.054,16095.081,15868.458,16195.635,16301.021,16034.137,16387.844,15807.244
2901.0513,2906.0347,2888.618,2913.1636,2898.0654,2907.579,2914.6921,2888.1404,2906.0742,2899.7332,2910.909,2896.8435,2901.5325
3182.4526,3197.1003,3168.6204,3195.072,3190.2644,3199.7598,3197.1455,3162.5662,3184.5518,3177.5833,3194.5315,3177.7363,3180.6501
