V1,V2,V3,V4,V5,V6,V7,V8
6037.014,6117.014,5782.433,5841.8555,5458.828,5534.0117,5190.3975,5052.8203
6221.8716,6322.5024,5975.434,6031.4097,5621.038,5711.4624,5364.6387,5211.04
6397.9526,6510.6226,6140.696,6188.7495,5760.8745,5842.915,5492.91,5318.9907
6800.199,6913.9214,6530.8047,6597.6606,6158.968,6265.197,5874.1895,5713.8096
1040.1099,1029.7479,1012.8152,1031.5356,933.153,953.43304,928.3565,913.24316
8718.838,8820.569,8365.609,8493.835,7984.3647,8130.6816,7595.3535,7457.558
2993.901,3031.97,2870.9443,2914.2668,2739.5884,2789.2815,2603.2808,2553.95
2306.8794,2330.739,2211.9634,2246.735,2111.3586,2149.3137,2008.841,1973.8036
2220.662,2247.593,2130.2476,2162.4495,2031.2395,2067.8005,1931.9463,1895.3204
2285.0623,2315.4177,2194.518,2224.096,2084.6,2122.0994,1986.9524,1944.253
1038.094,1051.9357,995.1172,1008.9527,947.6561,964.0069,900.5038,881.73706
2907.781,2907.9827,2785.184,2833.128,2653.1162,2692.8062,2534.9456,2502.489
1575.2632,1593.0975,1511.6407,1537.2913,1450.7708,1478.8331,1377.6282,1357.1417
10832.356,10926.372,10374.288,10573.159,10009.151,10202.246,9477.304,9374.457
1158.513,1172.2587,1121.7977,1136.6764,1056.157,1076.4591,1019.8239,997.06915
1819.063,1826.3884,1747.845,1780.4255,1678.6674,1713.2373,1603.3336,1588.9061
2171.5227,2198.8938,2083.072,2119.388,1997.2721,2037.4872,1896.5336,1866.6841
4308.557,4337.6943,4144.1646,4184.5674,3900.6226,3959.2825,3752.239,3666.3083
4988.6255,5037.9287,4786.3325,4867.613,4586.3003,4677.192,4361.617,4297.813
5573.6284,5633.47,5340.796,5431.544,5115.116,5214.7153,4860.0483,4784.008
8571.292,8658.24,8217.787,8354.158,7858.167,8010.8594,7476.2295,7356.5747
4575.0767,4639.903,4412.4214,4485.5713,4206.707,4301.931,4022.5198,3953.1567
5346.6997,5400.9565,5133.905,5213.0757,4890.551,4979.364,4662.9194,4578.9946
2103.7595,2131.2896,2020.7578,2047.3335,1919.9905,1955.0144,1830.7507,1792.0305
1236.5645,1253.9047,1188.9791,1203.1057,1126.5186,1147.7228,1076.5747,1052.1127
7151.224,7171.109,6878.876,7063.7715,6485.79,6600.923,6233.703,6135.362
8286.244,8391.002,7960.6157,8063.7695,7567.787,7699.69,7207.996,7057.678
4413.803,4472.469,4225.2095,4297.573,4066.6602,4141.2964,3839.668,3779.8367
1692.6276,1710.6693,1616.7207,1641.8732,1547.0701,1572.1818,1463.8246,1437.9296
2787.7996,2832.2217,2673.2595,2711.5234,2547.7407,2593.0938,2417.7783,2365.1467
2241.7117,2279.2556,2156.3794,2185.3123,2048.1714,2089.8967,1953.4877,1910.1116
4164.155,4195.634,3974.91,4044.2356,3819.6013,3881.633,3610.8274,3560.492
7395.198,7504.1567,7104.2803,7208.446,6778.289,6908.805,6446.2666,6318.971
6446.258,6547.2275,6200.0327,6283.7476,5896.0547,6014.7495,5622.3765,5502.039
